Funder Name,year,Region,County,Nonprofit Name,Dollar Amount of Gift,City,Type of Gift,Category of Giving,Award Date
Adolph Coors Foundation,2013,Heart of Colorado,Chaffee,Young Life,"$10,000.00",Buena Vista,General Operating,Youth,3/29/13
Adolph Coors Foundation,2013,Heart of Colorado,Chaffee,Full Circle Restorative Justice,"$10,000.00",Salida,General Operating,Youth,11/27/13
Adolph Coors Foundation,2013,Heart of Colorado,Custer,Custer 2020 Inc.,"$15,000.00",Westcliffe,General Operating,Economic Development,3/29/13
Adolph Coors Foundation,2013,Heart of Colorado,Park,Boys & Girls Club of South Park,"$10,000.00",Fairplay,General Operating,Youth,7/31/13
Adolph Coors Foundation,2013,Heart of Colorado,Teller,Woodland Park Pregnancy Center,"$8,000.00",Woodland Park,Program,Pregnancy Center,7/31/13
Adolph Coors Foundation,2013,Heart of Colorado,Lake,"Lake City Downtown Improvement & Revitalization Team (DIRT), Inc.","$10,000.00",Lake City,Program,Economic Development,7/31/13
Adolph Coors Foundation,2013,Heart of Colorado,Lake,Full Circle of Lake County. Inc.,"$10,000.00",Leadville,General Operating,Youth,11/27/13
Adolph Coors Foundation,2013,Heart of Colorado,Lake,Partnership For Lake County Recreation,"$25,000.00",Leadville,General Operating,Economic Development,3/29/13
Adolph Coors Foundation,2013,Northeast,Logan,Family Resource Center,"$10,000.00",Sterling,Program,Youth,11/27/13
Adolph Coors Foundation,2013,Northeast,Phillips,A Sanctuary for Military Families,"$15,000.00",Granby,General Operating,Military/Family,7/31/13
Adolph Coors Foundation,2013,San Juan,Hinsdale,"Phillips County Family Education Services, Inc.","$5,000.00",Holyoke,Program,Youth,3/29/13
Adolph Coors Foundation,2013,San Juan,Montrose,"Delta Montrose Youth Services, Inc/Partners","$15,000.00",Montrose,General Operating,Youth,11/27/13
Adolph Coors Foundation,2013,Southwest,Archuleta,Pagosa Pregnancy Support Center,"$5,000.00",Pagosa Springs,Program,Pregnancy Center,7/31/13
Adolph Coors Foundation,2013,Southwest,Montezuma,Four Corners School of Outdoor Education,"$5,000.00",Cortez,Program,Youth,11/27/13
Adolph Coors Foundation,2013,Western Slope,Mesa,Girls On the Run of Western Colorado,"$5,000.00",Grand Junction,General Operating,Youth,7/31/13
Adolph Coors Foundation,2013,Western Slope,Mesa,Mesa County Public Library Foundation,"$10,000.00",Grand Junction,Capital,Economic Development,3/29/13
Adolph Coors Foundation,2013,Western Slope,Mesa,Boy Scouts - Western Colorado Council,"$10,000.00",Grand Junction,General Operating,Youth,11/27/13
Adolph Coors Foundation,2013,Western Slope,Eagle,Walking Mountains Science Center,"$10,000.00",Avon,Program,Youth,3/29/13
Adolph Coors Foundation,2013,Western Slope,Garfield,Computers for Kids Foundation,"$10,000.00",Carbondale,General Operating,Youth,3/29/13
Adolph Coors Foundation,2013,Western Slope,Garfield,New Ute Theatre Society,"$25,000.00",Rifle,General Operating,Economic Development,3/29/13
Anschutz Family Foundation,2013,Heart of Colorado,Chaffee,Articipate,"$5,000.00",Salida,General Operating,Youth Development,4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Chaffee,Chaffee County Habitat for Humanity,"$5,000.00",Buena Vista,General Operating,Low Income Housing,4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Chaffee,Chaffee County Montessori School,"$5,000.00",Salida,General Operating,Youth Development,4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Chaffee,Chaffee County Public Health,"$4,620.00",Salida,Program,Youth Development,4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Chaffee,"Colorado Farm To Table, Inc.","$7,500.00",Salida,General Operating,Food/Shelter/Homeless,4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Chaffee,Full Circle Restorative Justice,"$5,000.00",Salida,General Operating,Crisis Intervention,11/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Chaffee,Salida Area Parks Open Space And Trails,"$5,000.00",Salida,Program,"Civic, Community, and Capacity Building",4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Chaffee,Valley to Valley Senior Care Center,"$7,000.00",Salida,General Operating,Senior Programs,11/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Custer,'Cliffs Commercial District,"$5,000.00",Westcliffe,General Operating,"Civic, Community, and Capacity Building",4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Custer,Club America WMV,"$5,000.00",Westcliffe,General Operating,Senior Programs,4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Fremont,"Boys and Girls Club of Fremont County, Inc.","$8,000.00",Ca–on City,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Fremont,"Ca–on Literacy Center, Inc.","$5,000.00",Ca–on City,General Operating,Self Sufficiency,4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Fremont,Senior Services Solutions Plus,"$5,000.00",Ca–on City,General Operating,Senior Programs,4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Park,Boys and Girls Club of South Park,"$7,500.00",Fairplay,General Operating,Youth Development,4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Park,I Love U Guys Foundation,"$5,000.00",Bailey,General Operating,Crisis Intervention,4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Park,Rocky Mountain Rural Health,"$5,000.00",Fairplay,General Operating,Health & Hospice,4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Teller,CHOICES,"$5,000.00",Woodland Park,General Operating,Self Sufficiency,4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Teller,Habitat for Humanity of Teller County,"$5,000.00",Woodland Park,General Operating,Low Income Housing,4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Teller,Help the Needy,"$7,500.00",Woodland Park,General Operating,Self Sufficiency,4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Teller,"Prospect Home Care & Hospice, Inc.","$5,000.00",Woodland Park,General Operating,Senior Programs,4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Teller,Woodland Park School District Re-2,"$2,500.00",Woodland Park,Program,Disabled,4/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Lake,"Advocates of Lake County, Inc.","$7,500.00",Leadville,General Operating,Crisis Intervention,11/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Lake,"Full Circle of Lake County, Inc.","$8,000.00",Leadville,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Summit,"Advocates for Victims of Assault, Inc.","$5,000.00",Frisco,General Operating,Crisis Intervention,11/30/13
Anschutz Family Foundation,2013,Heart of Colorado,Summit,Breckenridge Outdoor Education Center,"$5,000.00",Breckenridge,General Operating,Disabled,4/30/13
