funder,year,region,county,nonprofit,amount,city,type,category
Adolph Coors Foundation,2009,Heart of Colorado,Chaffee,Boys & Girls Clubs of Chaffee County,10000,Buena Vista,Program,Children and Youth Services,
Adolph Coors Foundation,2009,Heart of Colorado,Chaffee,"Colorado Farm To Table, Inc.",50000,Salida,Program,Human Services,
Adolph Coors Foundation,2009,Heart of Colorado,Custer,Outdoor Buddies,5000,Westcliffe,General Operating,Human Services,
Adolph Coors Foundation,2009,Heart of Colorado,Fremont,Fremont County Friendly Visitors,4000,Canon City,General Operating,Human Services,
Adolph Coors Foundation,2009,Heart of Colorado,Park,Boys & Girls Club of South Park,10000,Fairplay,General Operating,Children and Youth Services,
Adolph Coors Foundation,2009,Heart of Colorado,Summit,Summit County Family Resource Center,6000,Dillon,Program,Human Services,
Anschutz Family Foundation,2009,Heart of Colorado,Chaffee,Boys and Girls Clubs of Chaffee County,5000,Salida,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Heart of Colorado,Chaffee,Chaffee Housing Trust,5000,Salida,General Operating,"Housing, Homeless shelters",
Anschutz Family Foundation,2009,Heart of Colorado,Chaffee,Neighbor to Neighbor Volunteers/The Chaffee Shuttle,7500,Salida,General Operating,,
Anschutz Family Foundation,2009,Heart of Colorado,Chaffee,Salida Senior Daycare,5000,Salida,General Operating,,
Anschutz Family Foundation,2009,Heart of Colorado,Custer,"Wet Mountain Valley Community Service, Inc.",4000,Westcliffe,General Operating,,
Anschutz Family Foundation,2009,Heart of Colorado,Fremont,Arkansas Valley Ambulance,5000,Cotopaxi,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Heart of Colorado,Fremont,Office of the District Attorney 11th Judicial District,2500,Canon City,Program,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Heart of Colorado,Park,Boys and Girls Club of South Park,5000,Fairplay,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Heart of Colorado,Park,Mountain Peace Shelter,5000,Bailey,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Heart of Colorado,Park,Rocky Mountain Rural Health,7500,Fairplay,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Heart of Colorado,Summit,"Advocates for Victims of Assult, Inc.",5000,Frisco,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Heart of Colorado,Summit,CASA of the Continental Divide,5000,Dillon,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Heart of Colorado,Summit,"Summit Community Care Clinic, Inc.",7500,Frisco,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Heart of Colorado,Summit,Summit Medical Center Health Foundation,5000,Frisco,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Heart of Colorado,Teller,Community Partnership Family Resource Center,7500,Divide,General Operating,,
Anschutz Family Foundation,2009,Heart of Colorado,Teller,Cresson Dance,5000,Cripple Creek,Student Aid/Scholarship,Children and Youth Services,
Anschutz Family Foundation,2009,Heart of Colorado,Teller,Help the Needy,5000,Woodland Park,General Operating,Human Services,
Anschutz Family Foundation,2009,Heart of Colorado,Teller,Little Chapel Food Pantrry,5000,Divide,General Operating,Human Services,
AV Hunter Trust,2009,Heart of Colorado,Summit,Breckenridge Outdoor Education Center,15000,Breckenridge,Program,Disabled,11/16/09
AV Hunter Trust,2009,Heart of Colorado,Fremont,"Canon City Golden Age Center, Inc.",7500,Canon City,Program,Seniors,11/16/09
AV Hunter Trust,2009,Heart of Colorado,Fremont,Senior Services Solutions Plus,5000,Canon City,General Operating,Seniors,11/16/09
AV Hunter Trust,2009,Heart of Colorado,Fremont,Senior Services Solutions Plus,5000,Canon City,General Operating,Seniors,12/22/09
AV Hunter Trust,2009,Heart of Colorado,Summit,CASA of the Continental Divide,5000,Dillon,General Operating,Youth,8/18/09
AV Hunter Trust,2009,Heart of Colorado,Teller,Community Partnership Family Resource Center,5000,Divide,Program,,11/16/09
AV Hunter Trust,2009,Heart of Colorado,Lake,St. George Community Meals,5000,Leadville,General Operating,Indigent,5/14/09
AV Hunter Trust,2009,Heart of Colorado,Lake,St. Vincent Hospital Foundation - Tree of Sharing,5000,Leadville,Program,Youth,8/18/09
AV Hunter Trust,2009,Heart of Colorado,Lake,"Full Circle of Lake County, Inc.",5000,Leadville,Program,Indigent,11/16/09
AV Hunter Trust,2009,Heart of Colorado,Lake,The Center,30,000.00,Leadville,Program,Youth,11/16/09
AV Hunter Trust,2009,Heart of Colorado,Lake,"Full Circle of Lake County, Inc.",5000,Leadville,General Operating,Indigent,12/22/09
AV Hunter Trust,2009,Heart of Colorado,Lake,St. George Community Meals,10000,Leadville,General Operating,Indigent,12/22/09
AV Hunter Trust,2009,Heart of Colorado,Lake,St. Vincent Hospital Foundation - Tree of Sharing,5000,Leadville,General Operating,Youth,12/22/09
AV Hunter Trust,2009,Heart of Colorado,Lake,The Center,5000,Leadville,General Operating,Youth,12/22/09
AV Hunter Trust,2009,Heart of Colorado,Chaffee,Boys & Girls Club of Chaffee County,7500,Salida,General Operating,Youth,11/16/09
AV Hunter Trust,2009,Heart of Colorado,Teller,Habitat for Humanity of Teller County,10000,Woodland Park,General Operating,Indigent,8/18/09
AV Hunter Trust,2009,Heart of Colorado,Teller,"Prospect Home Care & Hospice, Inc.",5000,Woodland Park,Program,Seniors,8/18/09
Boettcher Foundation,2009,Heart of Colorado,Chaffee,Heart of the Rockies Medical Center,50000,Salida,Capital,,
Boettcher Foundation,2009,Heart of Colorado,Chaffee,Neighbor to Neighbor Volunteers,10000,Salida,Capital,,
Boettcher Foundation,2009,Heart of Colorado,Fremont,Development Training Services,10000,Canon City,Capital,,
Boettcher Foundation,2009,Heart of Colorado,Fremont,Florence Senior Citizen Council on Aging,10000,Florence,Capital,,
Boettcher Foundation,2009,Heart of Colorado,Fremont,Fremont Schools Facilities Corporation,20000,Canon City,,,
Boettcher Foundation,2009,Heart of Colorado,Fremont,Friends of Penrose Community Library,25000,Penrose,Capital,,
Boettcher Foundation,2009,Heart of Colorado,Lake,High Mountain Institute,45000,Leadville,Capital,,
Caring for Colorado Foundation,2009,Heart of Colorado,Chaffee,Chaffee County Health and Human Services,100000,Salida,General Operating,,
Caring for Colorado Foundation,2009,Heart of Colorado,Fremont,"RAMROD, dba Arkansas Valley Ambulance",33902,Cotopaxi,General Operating,,
Caring for Colorado Foundation,2009,Heart of Colorado,Park,Rocky Mountain Rural Health,48420,Fairplay,General Operating,Health                                                                     ,
Caring for Colorado Foundation,2009,Heart of Colorado,Teller,Southwest Teller County Emergency Medical Services,5000,Cripple Creek,General Operating,,
Daniels Fund,2009,Heart of Colorado,Chaffee,Neighbor to Neighbor Volunteers,13680,Salida,General Operating,"Philanthropy, Volunteerism, Grants",
