funder,year,region,county,nonprofit,amount,city,type,category
Adolph Coors Foundation,2009,Northeast,Logan,Logan County Literacy Coalition,3000,Sterling,General Operating,Education,
Adolph Coors Foundation,2009,Northeast,Morgan,Sexual Assault Response Advocates,5000,Fort Morgan,Program,Human Services,
Adolph Coors Foundation,2009,Northeast,Morgan,"Share, Inc.",13000,Fort Morgan,Program,Human Services,
Adolph Coors Foundation,2009,Northeast,Morgan,The Production Company,5000,Wiggins,Program,Children and Youth Services,
Adolph Coors Foundation,2009,Northeast,Phillips,"Phillips County, Colorado",40000,Holyoke,Program,"Community, Public Affairs",
Anschutz Family Foundation,2009,Northeast,Kit Carson,Wee Blew Inn Preschool,5000,Burlington,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Northeast,Lincoln,Lincoln County Economic Development Corporation,6000,Limon,General Operating,Economic Development      ,
Anschutz Family Foundation,2009,Northeast,Logan,Logan County Literacy Coalition,5000,Sterling,General Operating,Education,
Anschutz Family Foundation,2009,Northeast,Logan,Northeast Colorado Health Department,5000,Sterling,Program,Disabled Persons,
Anschutz Family Foundation,2009,Northeast,Morgan,"Caring Ministries of Morgan County, Inc.",5000,Fort Morgan,General Operating,Emergency Assistance      ,
Anschutz Family Foundation,2009,Northeast,Morgan,Morgan Community College,5070,Fort Morgan,Program,,
Anschutz Family Foundation,2009,Northeast,Morgan,Morgan Humane Society,5000,Fort Morgan,General Operating,Animal Protection and Welfare,
Anschutz Family Foundation,2009,Northeast,Morgan,The Production Company,7500,Wiggins,General Operating,"Arts, Culture & Humanities ",
Anschutz Family Foundation,2009,Northeast,Yuma,Wray Community Child Care Center,5000,Wray,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Northeast,Yuma,"Wray Rehabilitation and Activities Center, Inc.",5000,Wray,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Northeast,Yuma,Yuma Conservation District,5000,Yuma,Program,Economic Development      ,
Boettcher Foundation,2009,Northeast,Kit Carson,Kit Carson County Memorial Hospital,3750,Burlington,General Operating,Health                                                                     ,
Boettcher Foundation,2009,Northeast,Lincoln,Limon Heritage Museum & Railroad Park,20000,Limon,Capital,,
Boettcher Foundation,2009,Northeast,Phillips,East Phillips County Hospital District,50000,Holyoke,Capital,Health                                                                     ,
Boettcher Foundation,2009,Northeast,Phillips,Phillips County,75000,Holyoke,Capital,,
Caring for Colorado Foundation,2009,Northeast,Lincoln,Plains Medical Center,75000,Limon,General Operating,Health                                                                     ,
Caring for Colorado Foundation,2009,Northeast,Lincoln,Plains Medical Center,175000,Limon,General Operating,Health                                                                     ,
Caring for Colorado Foundation,2009,Northeast,Logan,Northeast Colorado Health Department,72288,Sterling,General Operating,,
Caring for Colorado Foundation,2009,Northeast,Yuma,Rural Communities Resource Center,30000,Yuma,General Operating,,
Daniels Fund,2009,Northeast,Kit Carson,"Dynamic Dimensions, Inc.",10000,Burlington,Other,Disabled Persons,
Daniels Fund,2009,Northeast,Lincoln,Limon Child Development Center,10000,Limon,Program,Disabled Persons,
Daniels Fund,2009,Northeast,Logan,Cooperating Ministry of Logan County,25000,Sterling,General Operating,Human Services,
Daniels Fund,2009,Northeast,Logan,Family Resource Center,20000,Sterling,Program,Children and Youth Services,
Daniels Fund,2009,Northeast,Morgan,"Caring Ministries of Morgan County, Inc.",25000,Fort Morgan,General Operating,Human Services,
Daniels Fund,2009,Northeast,Morgan,"SHARE , Inc.",12000,Fort Morgan,General Operating,Human Services,
Daniels Fund,2009,Northeast,Morgan,Wiggins School District RE-50J,10000,Wiggins,Capital,Education,
Daniels Fund,2009,Northeast,Phillips,"Phillips County Family Education Services, Inc.",10000,Holyoke,Program,Education,
Daniels Fund,2009,Northeast,Yuma,Wray Community Child Care Center,12100,Wray,Program,Education,
Daniels Fund,2009,Northeast,Yuma,"Wray Rehabilitation & Activities Center, Inc.",20000,Wray,General Operating,Children and Youth Services,
El Pomar Foundation,2009,Northeast,Cheyenne,"Praire View Health Resources, Inc.",10000,Cheyenne Wells,Capital,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Cheyenne,Cheyenne County Public Health,4500,Cheyenne Wells,Program,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Cheyenne,Kit Carson Rural Development,1500,Kit Carson,General Operating,"Community, Public Affairs",
El Pomar Foundation,2009,Northeast,Kit Carson,Kit Carson County Health Services District,25000,Burlington,Capital,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Kit Carson,Praire Heritage Arts Association,1500,Burlington,Program,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Northeast,Logan,Family Resource Center,5000,Sterling,Program,Human Services,
El Pomar Foundation,2009,Northeast,Logan,Northeast Colorado Health Department,10000,Sterling,Program,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Logan,"Centennial Mental Health Center, Inc.",8000,Sterling,Program,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Logan,Cooperating Ministry of Logan County,20000,Sterling,General Operating,Human Services,
El Pomar Foundation,2009,Northeast,Logan,Rural Solutions,5000,Sterling,Program,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Logan,Eastern Colorado Services for the Developmentally Disabled,1500,Sterling,Not Provided,Disabled Persons,
El Pomar Foundation,2009,Northeast,Logan,Frenchman School District RE-3,1500,Fleming,Capital,Education,
El Pomar Foundation,2009,Northeast,Logan,Northeast Colorado Health Department,26000,Sterling,Program,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Logan,Northeastern Junior College Foundation,8334,Sterling,Program,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Logan,Northeastern Junior College Foundation,8333,Sterling,Program,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Morgan,East Morgan County Hospital District,25000,Brush,Capital,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Morgan,OneMorgan County,2500,Fort Morgan,General Operating,"Community, Public Affairs",
El Pomar Foundation,2009,Northeast,Morgan,Production Company,2500,Wiggins,Program,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Northeast,Morgan,"Caring Ministries of Morgan County, Inc.",10000,Fort Morgan,Program,Human Services,
El Pomar Foundation,2009,Northeast,Morgan,"Sara, Inc.",5000,Fort Morgan,Program,Abuse & Neglect Prevention,
El Pomar Foundation,2009,Northeast,Morgan,"SHARE, Inc.",5000,Fort Morgan,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2009,Northeast,Morgan,Production Company,2500,Wiggins,General Operating,Children and Youth Services,
El Pomar Foundation,2009,Northeast,Morgan,A Caring Crisis Pregnancy Center,1500,Brush,Event,Health                                                                     ,
El Pomar Foundation,2009,Northeast,Morgan,Morgan Community College,10000,Fort Morgan,Program,Education,
El Pomar Foundation,2009,Northeast,Morgan,Morgan Community College,8333,Fort Morgan,Program,Education,
El Pomar Foundation,2009,Northeast,Morgan,Morgan Community College,4000,Fort Morgan,General Operating,Education,
El Pomar Foundation,2009,Northeast,Morgan,Morgan Community College,8333,Fort Morgan,Program,Education,
El Pomar Foundation,2009,Northeast,Phillips,"Phillips County Family Education Services, Inc.",8333,Holyoke,Program,"Community, Public Affairs",
El Pomar Foundation,2009,Northeast,Phillips,"Phillips County Family Education Services, Inc.",8334,Holyoke,Program,"Community, Public Affairs",
El Pomar Foundation,2009,Northeast,Yuma,Regional Home Visitation Program,15000,Yuma,General Operating,"Community, Public Affairs",
El Pomar Foundation,2009,Northeast,Yuma,Wray Community Child Care Center,7500,Wray,General Operating,Children and Youth Services,
El Pomar Foundation,2009,Northeast,Yuma,Rural Communities Resource Center,7000,Yuma,Program,Human Services,
El Pomar Foundation,2009,Northeast,Yuma,Regional Home Visitation Program,2500,Yuma,Program,Children and Youth Services,
El Pomar Foundation,2009,Northeast,Yuma,Rural Communities Resource Center,9500,Yuma,Program,"Community, Public Affairs",
Gates Family Foundation,2009,Northeast,Lincoln,"Roundhouse Preservation, Inc.",25000,Hugo,Capital,"Arts, Culture & Humanities ",
Gates Family Foundation,2009,Northeast,Logan,Frenchman School District RE-3,20000,Fleming,Capital,Education,
Gates Family Foundation,2009,Northeast,Morgan,East Morgan County Library District,35000,Brush,Capital,"Arts, Culture & Humanities ",
Gates Family Foundation,2009,Northeast,Phillips,Philips County,9000,Holyoke,Capital,"Community, Public Affairs",
Helen K. and Arthur E. Johnson Foundation,2009,Northeast,Lincoln,Limon Child Development Center,15000,Limon,General Operating,Children and Youth Services,
Helen K. and Arthur E. Johnson Foundation,2009,Northeast,Phillips,"Phillips County Family Education Services, Inc.",10000,Holyoke,General Operating,Education,
Helen K. and Arthur E. Johnson Foundation,2009,Northeast,Yuma,"Hospice of the Plains, Inc.",12500,Wray,General Operating,Hospice,
Helen K. and Arthur E. Johnson Foundation,2009,Northeast,Yuma,Regional Home Visitation Program,12500,Yuma,General Operating,,
