funder,year,region,county,nonprofit,amount,city,type,category
Adolph Coors Foundation,2009,Northwest,Grand,Pregnancy Resource Connection,5000,Granby,General Operating,Human Services,
Anschutz Family Foundation,2009,Northwest,Grand,ADVOCATES: Victim Assistance Team of Grand County,5000,Hot Sulphur Springs,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Northwest,Grand,Grand Foundation,7500,Winter Park,General Operating,"Community, Public Affairs",
Anschutz Family Foundation,2009,Northwest,Moffat,Boys and Girls Club of Craig & Steamboat Springs,7500,Craig,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Northwest,Routt,Advocates Against Battering and Abuse,1300,Steamboat Springs,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Northwest,Routt,Humble Ranch Education and Therapy Center,5000,Steamboat Springs,General Operating,Disabled Persons,
Anschutz Family Foundation,2009,Northwest,Routt,Integrated Community/Comunidad Integrada,5000,Steamboat Springs,General Operating,,
Anschutz Family Foundation,2009,Northwest,Routt,Partners in Routt County,5000,Steamboat Springs,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Northwest,Routt,Yampa Valley Autism Program,5000,Steamboat Springs,Program,Health                                                                     ,
AV Hunter Trust,2009,Northwest,Moffat,Boys & Girls Clubs of Northwest Colorado,7500,Craig,General Operating,Youth,11/16/09
Boettcher Foundation,2009,Northwest,Jackson,North Park School District R-1,50000,Walden,Capital,,
Boettcher Foundation,2009,Northwest,Moffat,Boys & Girls Club of Craig,10000,Craig,Capital,Children and Youth Services,
Boettcher Foundation,2009,Northwest,Rio Blanco,Colorado Northwestern Community College,50000,Rangely,Capital,Education,
Boettcher Foundation,2009,Northwest,Routt,East Routt Library District,25000,Steamboat Springs,Capital,,
Boettcher Foundation,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,75000,Steamboat Springs,Capital,,
Caring for Colorado Foundation,2009,Northwest,Rio Blanco,Rangely District Hospital,25000,Rangely,General Operating,Health                                                                     ,
Caring for Colorado Foundation,2009,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",50000,Steamboat Springs,General Operating,,
Daniels Fund,2009,Northwest,Grand,Fraser Creative Learning Center,3000,Fraser,Program,Education,
Daniels Fund,2009,Northwest,Routt,"Horizons Specialized Services, Inc.",10000,Steamboat Springs,General Operating,Disabled Persons,
Daniels Fund,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,150000,Steamboat Springs,Program,Health                                                                     ,
Daniels Fund,2009,Northwest,Routt,Partners in Routt County,12500,Steamboat Springs,Program,Children and Youth Services,
Daniels Fund,2009,Northwest,Routt,Rocky Mountain Youth Corps,15000,Steamboat Springs,General Operating,Children and Youth Services,
El Pomar Foundation,2009,Northwest,Grand,Rocky Mountain Repertory Theatre,10000,Grand Lake,Capital,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Northwest,Grand,Shining Stars Foundation,5000,Tabernash,General Operating,,
El Pomar Foundation,2009,Northwest,Grand,Mountain Family Center,10000,Hot Sulphur Springs,Program,Health                                                                     ,
El Pomar Foundation,2009,Northwest,Jackson,"North Park Medical Clinic, Inc.",10000,Walden,General Operating,Health                                                                     ,
El Pomar Foundation,2009,Northwest,Jackson,"North Park Medical Clinic, Inc.",10000,Walden,General Operating,Health                                                                     ,
El Pomar Foundation,2009,Northwest,Moffat,Memorial Hospital of Craig Foundation,30000,Craig,Program,Health                                                                     ,
El Pomar Foundation,2009,Northwest,Rio Blanco,Colorado Northwestern Community College,30000,Rangely,Student Aid/Scholarship,Education,
El Pomar Foundation,2009,Northwest,Routt,Advocates Against Battering and Abuse,5000,Steamboat Springs,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2009,Northwest,Routt,Hayden School District RE-1,15000,Hayden,Capital,Education,
El Pomar Foundation,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,10000,Steamboat Springs,Capital,Health                                                                     ,
El Pomar Foundation,2009,Northwest,Routt,Rocky Mountain Youth Corps,5000,Steamboat Springs,General Operating,Children and Youth Services,
El Pomar Foundation,2009,Northwest,Routt,Strings in the Mountains,15000,Steamboat Springs,General Operating,"Arts, Culture & Humanities ",
El Pomar Foundation,2009,Northwest,Routt,Yampa Valley Community Foundation,5000,Steamboat Springs,General Operating,"Community, Public Affairs",
El Pomar Foundation,2009,Northwest,Routt,Advocates Against Battering and Abuse,37350,Steamboat Springs,Program,"Domestic Violence Shelters, Services",
El Pomar Foundation,2009,Northwest,Routt,Life Inter Faith Team on Unemployment and Poverty (Lift-Up),15000,Steamboat Springs,Program,Emergency Assistance      ,
El Pomar Foundation,2009,Northwest,Routt,Rocky Mountain Youth Corps,2500,Steamboat Springs,Program,Children and Youth Services,
Gates Family Foundation,2009,Northwest,Grand,Fraser Valley Recreation,50000,Winter Park,Capital,"Environment, Conservation",
Gates Family Foundation,2009,Northwest,Moffat,Yampa Valley Partners,25000,Craig,General Operating,"Community, Public Affairs",
Gates Family Foundation,2009,Northwest,Routt,Hayden School District RE-1,75000,Hayden,Capital,Education,
Gates Family Foundation,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,100000,Steamboat Springs,Capital,Health                                                                     ,
Helen K. and Arthur E. Johnson Foundation,2009,Northwest,Moffat,Boys & Girls Club of Craig,25000,Craig,General Operating,Children and Youth Services,
Helen K. and Arthur E. Johnson Foundation,2009,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",20000,Steamboat Springs,Program,Health                                                                     ,
Temple Hoyne Buell Foundation,2009,Northwest,Grand,Fraser Creative Learning Center and Day Care,20000,Fraser,General Operating,Education,
Temple Hoyne Buell Foundation,2009,Northwest,Grand,Fraser Creative Learning Center and Day Care,4000,Fraser,Student Aid/Scholarship,Education,
Temple Hoyne Buell Foundation,2009,Northwest,Moffat,Boys & Girls Club of Craig,25000,Craig,General Operating,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Northwest,Moffat,Moffat County School District Re-1,22000,Craig,Other,Education,
Temple Hoyne Buell Foundation,2009,Northwest,Moffat,Moffat County School District Re-1,8000,Craig,Other,Education,
Temple Hoyne Buell Foundation,2009,Northwest,Rio Blanco,Human Resource Center,5600,Rangely,Other,Education,
Temple Hoyne Buell Foundation,2009,Northwest,Rio Blanco,Human Resource Center,2000,Rangely,Other,Children and Youth Services,
Temple Hoyne Buell Foundation,2009,Northwest,Routt,First Impressions of Routt County,47000,Steamboat Springs,Program,Neighborhood Development,
Temple Hoyne Buell Foundation,2009,Northwest,Routt,Steamboat Springs Discovery Learning Center,30000,Steamboat Springs,Program,Education,
The Colorado Health Foundation,2009,Northwest,Grand,Grand County Rural Health Network,50000,Hot Sulphur Springs,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Northwest,Jackson,"North Park Medical Clinic, Inc.",50000,Walden,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Northwest,Moffat,"Independent Life Center, Inc.",64000,Craig,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Northwest,Moffat,"Northwest Colorado Dental Coalition, Inc.",27000,Craig,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,15000,Steamboat Springs,Program,Health                                                                     ,
The Colorado Health Foundation,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,139440,Steamboat Springs,Program,Health                                                                     ,
The Colorado Trust,2009,Northwest,Moffat,Moffat County Department of Social Services,7500,Craig,Program,Health                                                                     ,
The Colorado Trust,2009,Northwest,Routt,Colorado West Regional Mental Health Center Steamboat,20000,Steamboat Springs,Program,Health                                                                     ,
The Colorado Trust,2009,Northwest,Routt,Come Lets Dance,200,Steamboat Springs,General Operating,"Arts, Culture & Humanities ",
The Colorado Trust,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,462000,Steamboat Springs,Program,Health                                                                     ,
The Colorado Trust,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,187500,Steamboat Springs,Program,Health                                                                     ,
The Colorado Trust,2009,Northwest,Routt,Routt County Department of Human Services,7000,Steamboat Springs,Program,Health                                                                     ,
Adolph Coors Foundation,2010,Northwest,Moffat,Boys & Girls Club of Craig,15000,Craig,General Operating,Children and Youth Services,
