funder,year,region,county,nonprofit,amount,city,type,category
Adolph Coors Foundation,2009,San Luis Valley,Alamosa,San Luis Valley Immigrant Resource Center,10000,Alamosa,General Operating,Human Services,
Adolph Coors Foundation,2009,San Luis Valley,Alamosa,"San Luis Valley Museum, The",10000,Alamosa,Program,"Community, Public Affairs",
Adolph Coors Foundation,2009,San Luis Valley,Costilla,Costilla County Senior Citizens Club,25000,San Luis,Program,Human Services,
Anschutz Family Foundation,2009,San Luis Valley,Alamosa,Center for Restorative Programs,5000,Alamosa,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,San Luis Valley,Alamosa,"La Puente Home, Inc.",10000,Alamosa,General Operating,Human Services,
Anschutz Family Foundation,2009,San Luis Valley,Alamosa,SLV Immigrant Resource Center,5000,Alamosa,General Operating,,
Anschutz Family Foundation,2009,San Luis Valley,Conejos,Valle del Sol Community Center,5000,Capulin,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,San Luis Valley,Costilla,Rio Culebra Growers Educational Corporation,5000,San Luis,Program,Economic Development      ,
Anschutz Family Foundation,2009,San Luis Valley,Mineral,Creede Arts Council,5000,Creede,General Operating,Economic Development      ,
Anschutz Family Foundation,2009,San Luis Valley,Rio Grande,High Valley Community Center,5000,Del Norte,General Operating,"Community, Public Affairs",
Anschutz Family Foundation,2009,San Luis Valley,Saguache,Crestone Youth Programs,5000,Crestone,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,San Luis Valley,Saguache,ScSEED,5000,Moffat,General Operating,Economic Development      ,
AV Hunter Trust,2009,San Luis Valley,Alamosa ,San Luis Valley Housing Coalition,10000,Alamosa,General Operating,Indigent,8/18/09
AV Hunter Trust,2009,San Luis Valley,Alamosa ,Boys & Girls Club of the San Luis Valley,25000,Alamosa,General Operating,Youth,11/16/09
AV Hunter Trust,2009,San Luis Valley,Alamosa ,La Puente Home,20000,Alamosa,General Operating,Indigent,11/16/09
AV Hunter Trust,2009,San Luis Valley,Alamosa ,La Puente Home,5000,Alamosa,General Operating,Indigent,12/22/09
AV Hunter Trust,2009,San Luis Valley,Conejos,Valle del Sol Community Center,7500,Capulin,General Operating,Youth,11/16/09
AV Hunter Trust,2009,San Luis Valley,Conejos,Valle del Sol Community Center,5000,Capulin,General Operating,Youth,12/22/09
AV Hunter Trust,2009,San Luis Valley,Rio Grande,High Valley Community Center,5000,Del Norte,Program,Youth,11/16/09
