funder,year,region,county,nonprofit,amount,city,type,category
Anschutz Family Foundation,2009,Southeast,Baca,"Springfield Child Care Center, Inc.",5000,Springfield,Capital,Children and Youth Services,
Anschutz Family Foundation,2009,Southeast,Bent,Bent County HealthCare Center,7500,Las Animas,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Southeast,Bent,"Bent County Las Animas Community Activity Center, Inc.",5000,Las Animas,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Southeast,Huerfano,Huerfano County Youth Services,7500,Walsenburg,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Southeast,Las Animas,"Kim Equine Pavillion and Education Center, Inc.",7500,Kim,Capital,Economic Development      ,
Anschutz Family Foundation,2009,Southeast,Otero,Arkansas Valley Resource Center,5000,La Junta,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Southeast,Otero,Santo Nino Learning Center,5000,Rocky Ford,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Southeast,Otero,Tri-County Family Care Center,5000,Rocky Ford,General Operating,,
Anschutz Family Foundation,2009,Southeast,Prowers,"Southeast Business Retention, Expansion and Attraction",5000,Lamar,Program,Economic Development      ,
AV Hunter Trust,2009,Southeast,Prowers,Lamar Area Hospice Association,10000,Lamar,Program,Seniors,11/16/09
Caring for Colorado Foundation,2009,Southeast,Huerfano,La Veta Fire Protection District,57500,La Veta,General Operating,,
Caring for Colorado Foundation,2009,Southeast,Huerfano,Spanish Peaks Regional Health Center,63629,Walsenburg,General Operating,,
Caring for Colorado Foundation,2009,Southeast,Otero,Otero Junior College,50000,La Junta,General Operating,Education,
Caring for Colorado Foundation,2009,Southeast,Prowers,"High Plains Community Health Center, Inc.",66618,Lamar,General Operating,,
Daniels Fund,2009,Southeast,Bent,"Bent County Las Animas Community Activity Center, Inc.",15000,Las Animas,Program,Children and Youth Services,
Daniels Fund,2009,Southeast,Bent,Las Animas Helping Hands,25000,Las Animas,General Operating,Human Services,
Daniels Fund,2009,Southeast,Bent,Las Animas Housing Development Corporation,11526,Las Animas,Capital,"Housing, Homeless shelters",
Daniels Fund,2009,Southeast,Las Animas,First Christian Church Inc.,5000,Trinidad,Program,Human Services,
