funder,year,region,county,nonprofit,amount,city,type,category
Adolph Coors Foundation,2009,Southwest,La Plata,National Handicapped Sports & Recreation Association,20000,Durango,General Operating,Human Services,
Adolph Coors Foundation,2009,Southwest,Montezuma,Four Corners Child Advocacy Center,10000,Cortez,Program,Human Services,
Anschutz Family Foundation,2009,Southwest,Archuleta,"Colorado Housing, Inc.",5802,Pagosa Springs,General Operating,"Housing, Homeless shelters",
Anschutz Family Foundation,2009,Southwest,Archuleta,The Education Center,5000,Pagosa Springs,General Operating,Education,
Anschutz Family Foundation,2009,Southwest,Dolores,Dolores County School District,3000,Rico,Program,Children and Youth Services,
Anschutz Family Foundation,2009,Southwest,Dolores,Dove's Next Early Care and Education Center,5000,Dove Creek,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Southwest,La Plata,Adaptive Sports Association,5000,Durango,General Operating,Disabled Persons,
Anschutz Family Foundation,2009,Southwest,La Plata,Alternative Horizons,5000,Durango,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Southwest,La Plata,Sexual Assault Services Organization,5000,Durango,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Southwest,La Plata,"Southern Ute Community Action Programs, Inc.",5000,Ignacio,Program,"Food, Agriculture, Nutrition",
Anschutz Family Foundation,2009,Southwest,Montezuma,Cortez Center,5000,Cortez,General Operating,Economic Development      ,
Anschutz Family Foundation,2009,Southwest,Montezuma,Medicine Horse Center: Therapeutic Riding & Equine Rehabilitation,5000,Mancos,Program,Health                                                                     ,
Anschutz Family Foundation,2009,Southwest,Montezuma,The Bridge,5000,Cortez,General Operating,"Housing, Homeless shelters",
Anschutz Family Foundation,2009,Southwest,Montezuma,The Children's Kiva Montessori Preschool & Kindergarten,5000,Cortez,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Southwest,San Juan,A Theatre Group,5000,Silverton,General Operating,Children and Youth Services,
AV Hunter Trust,2009,Southwest,Montezuma,Four Corners Child Advocacy Center,7500,Cortez,General Operating,Youth,8/18/09
AV Hunter Trust,2009,Southwest,Montezuma,Hospice of Montezuma,10000,Cortez,Program,Indigent,8/18/09
AV Hunter Trust,2009,Southwest,La Plata,Big Brothers Big Sisters of Southwest Colorado,10000,Durango,General Operating,Youth,5/14/09
AV Hunter Trust,2009,Southwest,La Plata,Manna - The Durango Soup Kitchen,7500,Durango,General Operating,Indigent,5/14/09
AV Hunter Trust,2009,Southwest,La Plata,Adaptive Sports Association,10000,Durango,General Operating,Disabled,11/16/09
AV Hunter Trust,2009,Southwest,La Plata,Alternative Horizons Corporation,10000,Durango,Program,Youth,11/16/09
AV Hunter Trust,2009,Southwest,La Plata,Sexual Assault Services Organization,5000,Durango,Program,Youth,11/16/09
AV Hunter Trust,2009,Southwest,La Plata,Manna - The Durango Soup Kitchen,5000,Durango,General Operating,Indigent,12/22/09
AV Hunter Trust,2009,Southwest,Montezuma,Medicine Horse Center,10000,Mancos,General Operating,Disabled,11/16/09
AV Hunter Trust,2009,Southwest,Montezuma,Medicine Horse Center,5000,Mancos,General Operating,Disabled,12/22/09
AV Hunter Trust,2009,Southwest,Archuleta,"Habitat for Humanity of Archuleta County, Inc.",5000,Pagosa Springs,General Operating,Indigent,8/18/09
Boettcher Foundation,2009,Southwest,La Plata,Durango Public Library,50000,Durango,Capital,,
Boettcher Foundation,2009,Southwest,La Plata,Fort Lewis College - Scholarships,15000,Durango,Student Aid/Scholarship,Health                                                                     ,
Boettcher Foundation,2009,Southwest,Montezuma,Crow Canyon Archaeological Center,5000,Cortez,General Operating,,
Boettcher Foundation,2009,Southwest,Montezuma,Dolores Community Center Association,25000,Dolores,Capital,,
