funder,year,region,county,nonprofit,amount,city,type,category
Adolph Coors Foundation,2009,Western Slope,Delta,All American Families,3000,Delta,General Operating,Children and Youth Services,
Adolph Coors Foundation,2009,Western Slope,Garfield,"Institute for Civic Achievement, Inc.",2500,Glenwood Springs,Program,"Community, Public Affairs",
Adolph Coors Foundation,2009,Western Slope,Mesa,Colorado Discover Ability Integrated Outdoor Adventures,7500,Grand Junction,General Operating,Human Services,
Adolph Coors Foundation,2009,Western Slope,Mesa,Hilltop Community Resources,15000,Grand Junction,Program,Human Services,
Adolph Coors Foundation,2009,Western Slope,Mesa,Housing Resources of Western Colorado,15000,Grand Junction,Capital,Human Services,
Adolph Coors Foundation,2009,Western Slope,Mesa,Mesa County Partners,80000,Grand Junction,Capital,Children and Youth Services,
Anschutz Family Foundation,2009,Western Slope,Delta,North Fork Community Montessori School,5000,Hotchkiss,Program,Children and Youth Services,
Anschutz Family Foundation,2009,Western Slope,Eagle,English in Action,5000,Basalt,General Operating,,
Anschutz Family Foundation,2009,Western Slope,Eagle,The Eagle River Youth Coalition,5000,Edwards,Program,,
Anschutz Family Foundation,2009,Western Slope,Garfield,"Advocate Safehouse Project, Inc.",5000,Glenwood Springs,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Western Slope,Garfield,"Alpine Legal Services, Inc.",5000,Glenwood Springs,General Operating,Legal Services,
Anschutz Family Foundation,2009,Western Slope,Garfield,Kelsey's Kids,3500,Glenwood Springs,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Western Slope,Garfield,Roaring Fork Valley Early Learning Center,5000,Glenwood Springs,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Western Slope,Garfield,Senior Matters,5000,Carbondale,Program,,
Anschutz Family Foundation,2009,Western Slope,Garfield,Third Street Center,10000,Carbondale,Capital,"Community, Public Affairs",
Anschutz Family Foundation,2009,Western Slope,Garfield,WindWalkers Equine Assisted Learning & Therapy Center,5000,Carbondale,General Operating,Disabled Persons,
Anschutz Family Foundation,2009,Western Slope,Garfield,Yampah Teen Parent Program,5000,Glenwood Springs,General Operating,,
Anschutz Family Foundation,2009,Western Slope,Garfield,Youthentity,5000,Carbondale,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Western Slope,Garfield,YouthZone,5000,Glenwood Springs,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Western Slope,Mesa,Artspace & Open Studios,2700,Grand Junction,Program,,
Anschutz Family Foundation,2009,Western Slope,Mesa,"Child and Migrant Services, Inc.",5000,Palisade,General Operating,Human Services,
Anschutz Family Foundation,2009,Western Slope,Mesa,Colorado Discover Ability,5000,Grand Junction,General Operating,Disabled Persons,
Anschutz Family Foundation,2009,Western Slope,Mesa,Counseling and Education Center,5000,Grand Junction,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Western Slope,Mesa,Mesa County Partners,7500,Grand Junction,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Western Slope,Mesa,Riverside Educational Center,7500,Grand Junction,General Operating,Education,
Anschutz Family Foundation,2009,Western Slope,Mesa,St. Mary's Foster Grandparent Program,5000,Grand Junction,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Western Slope,Mesa,The Literacy Center,5000,Grand Junction,General Operating,Education,
Anschutz Family Foundation,2009,Western Slope,Mesa,The Tree House Center for Youth,5000,Grand Junction,Program,Children and Youth Services,
Anschutz Family Foundation,2009,Western Slope,Mesa,Western Colorado Suicide Prevention Foundation,5000,Grand Junction,Program,Health                                                                     ,
