Funder Name,year,Region,County,Nonprofit Name,Dollar Amount of Gift,City,Type of Gift,Category of Giving,Award Date
Adolph Coors Foundation,2009,Heart of Colorado,Chaffee,Boys & Girls Clubs of Chaffee County,10000.00,Buena Vista,Program,Children and Youth Services,
Adolph Coors Foundation,2009,Heart of Colorado,Chaffee,"Colorado Farm To Table, Inc.",50000.00,Salida,Program,Human Services,
Adolph Coors Foundation,2009,Heart of Colorado,Custer,Outdoor Buddies,5000.00,Westcliffe,General Operating,Human Services,
Adolph Coors Foundation,2009,Heart of Colorado,Fremont,Fremont County Friendly Visitors,4000.00,Canon City,General Operating,Human Services,
Adolph Coors Foundation,2009,Heart of Colorado,Park,Boys & Girls Club of South Park,10000.00,Fairplay,General Operating,Children and Youth Services,
Adolph Coors Foundation,2009,Heart of Colorado,Summit,Summit County Family Resource Center,6000.00,Dillon,Program,Human Services,
Adolph Coors Foundation,2009,Northeast,Logan,Logan County Literacy Coalition,3000.00,Sterling,General Operating,Education,
Adolph Coors Foundation,2009,Northeast,Morgan,Sexual Assault Response Advocates,5000.00,Fort Morgan,Program,Human Services,
Adolph Coors Foundation,2009,Northeast,Morgan,"Share, Inc.",13000.00,Fort Morgan,Program,Human Services,
Adolph Coors Foundation,2009,Northeast,Morgan,The Production Company,5000.00,Wiggins,Program,Children and Youth Services,
Adolph Coors Foundation,2009,Northeast,Phillips,"Phillips County, Colorado",40000.00,Holyoke,Program,"Community, Public Affairs",
Adolph Coors Foundation,2009,Northwest,Grand,Pregnancy Resource Connection,5000.00,Granby,General Operating,Human Services,
Adolph Coors Foundation,2009,San Juan,Gunnison,Gunnison County Partners,10000.00,Gunnison,General Operating,Children and Youth Services,
Adolph Coors Foundation,2009,San Juan,Gunnison,Gunnison Valley Alliance for Community & Restor.,3500.00,Gunnison,General Operating,Human Services,
Adolph Coors Foundation,2009,San Juan,Montrose,Black Canyon Boys & Girls Club,10000.00,Montrose,Program,Children and Youth Services,
Adolph Coors Foundation,2009,San Juan,Montrose,"Crisis Pregnancy Center of Montrose, Inc.",8500.00,Montrose,General Operating,Human Services,
Adolph Coors Foundation,2009,San Juan,Montrose,"Sharing Ministries, Inc.",20000.00,Montrose,Capital,Human Services,
Adolph Coors Foundation,2009,San Juan,San Miguel,Telluride Adaptive Ski Program,10000.00,Telluride,General Operating,Human Services,
Adolph Coors Foundation,2009,San Luis Valley,Alamosa,San Luis Valley Immigrant Resource Center,10000.00,Alamosa,General Operating,Human Services,
Adolph Coors Foundation,2009,San Luis Valley,Alamosa,"San Luis Valley Museum, The",10000.00,Alamosa,Program,"Community, Public Affairs",
Adolph Coors Foundation,2009,San Luis Valley,Costilla,Costilla County Senior Citizens Club,25000.00,San Luis,Program,Human Services,
Adolph Coors Foundation,2009,Southwest,La Plata,National Handicapped Sports & Recreation Association,20000.00,Durango,General Operating,Human Services,
Adolph Coors Foundation,2009,Southwest,Montezuma,Four Corners Child Advocacy Center,10000.00,Cortez,Program,Human Services,
Adolph Coors Foundation,2009,Western Slope,Delta,All American Families,3000.00,Delta,General Operating,Children and Youth Services,
Adolph Coors Foundation,2009,Western Slope,Garfield,"Institute for Civic Achievement, Inc.",2500.00,Glenwood Springs,Program,"Community, Public Affairs",
Adolph Coors Foundation,2009,Western Slope,Mesa,Colorado Discover Ability Integrated Outdoor Adventures,7500.00,Grand Junction,General Operating,Human Services,
Adolph Coors Foundation,2009,Western Slope,Mesa,Hilltop Community Resources,15000.00,Grand Junction,Program,Human Services,
Adolph Coors Foundation,2009,Western Slope,Mesa,Housing Resources of Western Colorado,15000.00,Grand Junction,Capital,Human Services,
Adolph Coors Foundation,2009,Western Slope,Mesa,Mesa County Partners,80000.00,Grand Junction,Capital,Children and Youth Services,
Anschutz Family Foundation,2009,Heart of Colorado,Chaffee,Boys and Girls Clubs of Chaffee County,5000.00,Salida,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Heart of Colorado,Chaffee,Chaffee Housing Trust,5000.00,Salida,General Operating,"Housing, Homeless shelters",
Anschutz Family Foundation,2009,Heart of Colorado,Chaffee,Neighbor to Neighbor Volunteers/The Chaffee Shuttle,7500.00,Salida,General Operating,,
Anschutz Family Foundation,2009,Heart of Colorado,Chaffee,Salida Senior Daycare,5000.00,Salida,General Operating,,
Anschutz Family Foundation,2009,Heart of Colorado,Custer,"Wet Mountain Valley Community Service, Inc.",4000.00,Westcliffe,General Operating,,
Anschutz Family Foundation,2009,Heart of Colorado,Fremont,Arkansas Valley Ambulance,5000.00,Cotopaxi,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Heart of Colorado,Fremont,Office of the District Attorney 11th Judicial District,2500.00,Canon City,Program,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Heart of Colorado,Park,Boys and Girls Club of South Park,5000.00,Fairplay,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Heart of Colorado,Park,Mountain Peace Shelter,5000.00,Bailey,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Heart of Colorado,Park,Rocky Mountain Rural Health,7500.00,Fairplay,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Heart of Colorado,Summit,"Advocates for Victims of Assult, Inc.",5000.00,Frisco,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Heart of Colorado,Summit,CASA of the Continental Divide,5000.00,Dillon,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Heart of Colorado,Summit,"Summit Community Care Clinic, Inc.",7500.00,Frisco,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Heart of Colorado,Summit,Summit Medical Center Health Foundation,5000.00,Frisco,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Heart of Colorado,Teller,Community Partnership Family Resource Center,7500.00,Divide,General Operating,,
Anschutz Family Foundation,2009,Heart of Colorado,Teller,Cresson Dance,5000.00,Cripple Creek,Student Aid/Scholarship,Children and Youth Services,
Anschutz Family Foundation,2009,Heart of Colorado,Teller,Help the Needy,5000.00,Woodland Park,General Operating,Human Services,
Anschutz Family Foundation,2009,Heart of Colorado,Teller,Little Chapel Food Pantrry,5000.00,Divide,General Operating,Human Services,
Anschutz Family Foundation,2009,Northeast,Kit Carson,Wee Blew Inn Preschool,5000.00,Burlington,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Northeast,Lincoln,Lincoln County Economic Development Corporation,6000.00,Limon,General Operating,Economic Development      ,
Anschutz Family Foundation,2009,Northeast,Logan,Logan County Literacy Coalition,5000.00,Sterling,General Operating,Education,
Anschutz Family Foundation,2009,Northeast,Logan,Northeast Colorado Health Department,5000.00,Sterling,Program,Disabled Persons,
Anschutz Family Foundation,2009,Northeast,Morgan,"Caring Ministries of Morgan County, Inc.",5000.00,Fort Morgan,General Operating,Emergency Assistance      ,
Anschutz Family Foundation,2009,Northeast,Morgan,Morgan Community College,5070.00,Fort Morgan,Program,,
Anschutz Family Foundation,2009,Northeast,Morgan,Morgan Humane Society,5000.00,Fort Morgan,General Operating,Animal Protection and Welfare,
Anschutz Family Foundation,2009,Northeast,Morgan,The Production Company,7500.00,Wiggins,General Operating,"Arts, Culture & Humanities ",
Anschutz Family Foundation,2009,Northeast,Yuma,Wray Community Child Care Center,5000.00,Wray,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Northeast,Yuma,"Wray Rehabilitation and Activities Center, Inc.",5000.00,Wray,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Northeast,Yuma,Yuma Conservation District,5000.00,Yuma,Program,Economic Development      ,
Anschutz Family Foundation,2009,Northwest,Grand,ADVOCATES: Victim Assistance Team of Grand County,5000.00,Hot Sulphur Springs,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Northwest,Grand,Grand Foundation,7500.00,Winter Park,General Operating,"Community, Public Affairs",
Anschutz Family Foundation,2009,Northwest,Moffat,Boys and Girls Club of Craig & Steamboat Springs,7500.00,Craig,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Northwest,Routt,Advocates Against Battering and Abuse,1300.00,Steamboat Springs,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Northwest,Routt,Humble Ranch Education and Therapy Center,5000.00,Steamboat Springs,General Operating,Disabled Persons,
Anschutz Family Foundation,2009,Northwest,Routt,Integrated Community/Comunidad Integrada,5000.00,Steamboat Springs,General Operating,,
Anschutz Family Foundation,2009,Northwest,Routt,Partners in Routt County,5000.00,Steamboat Springs,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Northwest,Routt,Yampa Valley Autism Program,5000.00,Steamboat Springs,Program,Health                                                                     ,
Anschutz Family Foundation,2009,San Juan,Gunnison,"Adaptive Sports Center of Crested Butte, Inc.",5000.00,Crested Butte,General Operating,Disabled Persons,
Anschutz Family Foundation,2009,San Juan,Gunnison,Gunnison Area Restorative Practices,5000.00,Gunnison,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,San Juan,Gunnison,Gunnison County Library District,5000.00,Gunnison,Program,Education,
Anschutz Family Foundation,2009,San Juan,Gunnison,Paradise Place Community Christian School,2983.50,Crested Butte,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,San Juan,Montrose,"All Points Transit, Inc.",7500.00,Montrose,General Operating,,
Anschutz Family Foundation,2009,San Juan,Montrose,Black Canyon Boys and Girls Club,5000.00,Montrose,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,San Juan,Montrose,Hospice & Palliative Care of Western Colorado,5000.00,Montrose,Program,Hospice,
Anschutz Family Foundation,2009,San Juan,Montrose,"Partners of Delta, Montrose and Ouray",5000.00,Montrose,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,San Juan,Montrose,Retired Seniors Volunteer Program-Colorado West,5000.00,Montrose,General Operating,,
Anschutz Family Foundation,2009,San Juan,Ouray,Neighbor to Neighbor,5000.00,Ouray,General Operating,,
Anschutz Family Foundation,2009,San Juan,Ouray,Second Chance Humane Society,5000.00,Ridgway,Program,Animal Protection and Welfare,
Anschutz Family Foundation,2009,San Juan,Ouray,Voyager Youth Program,5000.00,Ridgway,General Operating,Children and Youth Services,
