Funder Name,year,Region,County,Nonprofit Name,Dollar Amount of Gift,City,Type of Gift,Category of Giving,Award Date,,,,
Adolph Coors Foundation,2012,Heart of CO,Teller,Community Coalition for Families & Children,"$10,000.00",Divide,General Operating,"Community, Public Affairs",,,,,
Adolph Coors Foundation,2012,Heart of CO,Teller,"Prospect Home Care- Hospice, Inc.","$10,000.00",Woodland Park,General Operating,Hospice,,,,,
Adolph Coors Foundation,2012,Northeast,Morgan,The Production Company,"$5,000.00",Wiggins,General Operating,"Arts, Culture & Humanities ",,,,,
Adolph Coors Foundation,2012,Northeast,Yuma,"Wray Area Foundation, Inc.","$5,000.00",Wray,General Operating,"Community, Public Affairs",,,,,
Adolph Coors Foundation,2012,Northeast,Yuma,Wray Rehabilitation & Activities Center,"$25,000.00",Wray,General Operating,,,,,,
Adolph Coors Foundation,2012,Northeast,Yuma,Young Americans Center for Financial Education,"$10,000.00",Wray,General Operating,Education,,,,,
Adolph Coors Foundation,2012,Northwest,Grand,Heart of the Mountains Volunteer Hospice,"$5,000.00",Hot Sulphur Springs,General Operating,Hospice,,,,,
Adolph Coors Foundation,2012,Northwest,Grand,"Pregnancy Resource Connection, Inc.","$8,000.00",Granby,General Operating,Health                                                                     ,,,,,
Adolph Coors Foundation,2012,Northwest,Routt,Partners in Routt County,"$10,000.00",Steamboat Springs,General Operating,,,,,,
Adolph Coors Foundation,2012,SanJuan,Gunnison,Gunnison Country Partners,"$15,000.00",Gunnison,General Operating,"Community, Public Affairs",,,,,
Adolph Coors Foundation,2012,SanLuisValley,Alamosa,Durango Adult Education Center,"$7,500.00",Durango,General Operating,Education,,,,,
Adolph Coors Foundation,2012,SanLuisValley,Saguache,Friends of the Saguache Library,"$10,000.00",Saguache,General Operating,"Community, Public Affairs",,,,,
Adolph Coors Foundation,2012,Southeast,Kiowa,Crow Luther Cultural Event Center,"$50,000.00",Eads,Capital,"Community, Public Affairs",,,,,
Adolph Coors Foundation,2012,Southwest,Montezuma,Onward! A Legacy Foundation,"$6,000.00",Cortez,General Operating,,,,,,
Adolph Coors Foundation,2012,WesternSlope,Eagle,SOS Outreach,"$10,000.00",Avon,General Operating,,,,,,
Adolph Coors Foundation,2012,WesternSlope,Garfield,Garfield County Public Library Foundation,"$10,000.00",Rifle,Capital,"Community, Public Affairs",,,,,
Adolph Coors Foundation,2012,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,"$10,000.00",Grand Junction,General Operating,Hospice,,,,,
Adolph Coors Foundation,2012,WesternSlope,Mesa,Mesa Youth Services,"$15,000.00",Grand Junction,General Operating,Children and Youth Services,,,,,
Adolph Coors Foundation,2012,WesternSlope,Pitkin,The Buddy Program,"$10,000.00",Aspen,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2012,Heart of CO,Fremont,Loaves and Fishes Ministries of Fremont County ,"$5,000.00",Canon City,Program,Food/Shelter/Homeless,,,,,
Anschutz Family Foundation,2012,Heart of CO,Fremont,Arkansas Valley Ambulance,"$5,000.00",Cotopaxi,General Operating,Health and Hospice,,,,,
Anschutz Family Foundation,2012,Heart of CO,Fremont,Fremont Regional Hospice,"$5,000.00",Canon City,Program,Health and Hospice,,,,,
Anschutz Family Foundation,2012,Heart of CO,Park,Park County Sheriff's Office,"$7,500.00",Fairplay,Program,"Civic, Community and Capacity Building",,,,,
Anschutz Family Foundation,2012,Heart of CO,Park,"PeaceWorks, Inc. ","$5,000.00",Bailey,General Operating,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,Heart of CO,Park,Boys and Girls Club of South Park,"$5,000.00",Fairplay,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Heart of CO,Park,Bristlecone Montessori School,"$5,000.00",Alma,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Heart of CO,Teller,Community Partnership Family Resource Center,"$7,500.00",Divide,General Operating,Self Sufficiency,,,,,
Anschutz Family Foundation,2012,Heart of CO,Teller,"The Canon City Golden Age Council, Inc. ","$7,500.00",Canon City,General Operating,Senior Programs,,,,,
Anschutz Family Foundation,2012,Heart of CO,Chaffee,Alliance Against Domestic Abuse,"$5,000.00",Salida,General Operating,Crisis Intervention ,,,,,
Anschutz Family Foundation,2012,Heart of CO,Chaffee,Valley to Valley Senior Care Center,"$5,000.00",Salida,General Operating,Senior Programs,,,,,
Anschutz Family Foundation,2012,Heart of CO,Chaffee,Boys and Girls Club of Chaffee County,"$5,000.00",Salida,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Heart of CO,Chaffee,Chaffee County Montessori School,"$5,000.00",Salida,General Operating,Youth Development,,,,,
Anschutz Family Foundation,2012,Heart of CO,Custer,All Aboard Westcliffe,"$5,000.00",Westcliffe,Program,"Civic, Community and Capacity Building",,,,,
Anschutz Family Foundation,2012,Heart of CO,Lake,Partnership for Lake County Recreation,"$5,000.00",Leadville,Program,"Civic, Community and Capacity Building",,,,,
Anschutz Family Foundation,2012,Heart of CO,Lake,St. Vincent Hospital Foundation,"$10,000.00",Leadville,Program,Health and Hospice,,,,,
