Funder Name,year,Region,County,Nonprofit Name,Dollar Amount of Gift,City,Type of Gift,Category of Giving,Award Date,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Teller ,City of Cripple Creek,"$5,000.00",Cripple Creek,Program,Civic and Community,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Teller ,Community Coalition for Families and Children,"$1,500.00",Divide,General Operating,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Teller ,Community Coalition for Families and Children,"$10,000.00",Divide,General Operating,Human Services,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Teller ,Feline Friends of the Pikes Peak Region,"$3,000.00",Woodland Park,Program,Civic and Community,3/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Teller ,Help the Needy (HtN),"$10,000.00",Woodland Park,General Operating,Human Services,12/15/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Teller ,Mountain Top Cycling Club,"$1,000.00",Woodland Park,Program,Civic and Community,3/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Teller ,"Prospect Home Care-Hospice, Inc.","$5,000.00",Woodland Park,General Operating,Health,9/28/14,,,,,,,,,,
El Pomar Foundation,2014,Heart of CO,Teller ,"Teller County Regional Animal Shelter, Inc.","$12,000.00",Divide,Capital,Civic and Community,9/28/14,,,,,,,,,,
Helen and Arthur Johnson Foundation,2014,Heart of CO,Teller ,"Prospect Home Care-Hospice, Inc.","$15,000.00",Woodland Park,General Support,Health,12/2/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Teller,CHOICES,"$5,000.00",Woodland Park,Program,Families,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Teller,Community Partnership Family Resource Center,"$10,000.00",Divide,General Operating,Families,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Teller,"Prospect Home Care & Hospice, Inc.","$5,000.00",Woodland Park,Program,Senior Programs,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Teller,Teller Senior Coalition,"$5,000.00",Woodland Park,General Operating,Senior Programs,4/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Teller,Teller Senior Coalition,"$5,000.00",Woodland Park,General Operating,Senior Programs,11/30/14,,,,,,,,,,
Anschutz Family Foundation,2014,Heart of CO,Teller,Victor Lowell Thomas Museum,"$7,500.00",Victor,Capital,"Civic, Community, and Technical Assistance",11/30/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Teller,Help the Needy,"$5,000.00",Woodland Park,General Operating,Indigent,8/20/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Teller,Teller Senior Coalition,"$7,500.00",Woodland Park,General Operating,Senior,11/24/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Teller,"Prospect Home Care & Hospice, Inc.","$10,000.00",Woodland Park,Program Support,Senior,11/24/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Teller,Help the Needy,"$2,500.00",Woodland Park,General Operating,Indigent,12/4/14,,,,,,,,,,
AV Hunter Trust,2014,Heart of CO,Teller,"Prospect Home Care & Hospice, Inc.","$5,000.00",Woodland Park,General Operating,Senior,12/4/14,,,,,,,,,,
Caring for Colorado Foundation,2014,Heart of CO,Teller,Teller Senior Coalition Inc,"$8,500.00",Woodland Park,Program,Health,6/25/14,,,,,,,,,,
Daniels Fund,2014,Heart of CO,Teller,Community Coalition For Families & Children,"$8,394.00",Divide,Program,Early Childhood Education,,,,,,,,,,,
Daniels Fund,2014,Heart of CO,Teller,Help the Needy,"$25,000.00",Woodland Park,General Operating,Homeless and Disadvantaged,,,,,,,,,,,
