funder,year,region,county,nonprofit,amount,city,,
Animal Assistance Foundation,2009,WesternSlope,Delta,Friends of Cedaredge Animal Control,5000.00,Cedaredge,,
Anschutz Family Foundation,2009,WesternSlope,Delta,Families Plus,7500.00,Delta,,
Anschutz Family Foundation,2009,WesternSlope,Delta,North Fork Community Montessori School,5000.00,Hotchkiss,,
Anschutz Family Foundation,2009,WesternSlope,Delta,Spirit Wind Horse Rescue,2500.00,Hotchkiss,,
Anschutz Family Foundation,2009,WesternSlope,Delta,The Abraham Connection,7500.00,Delta,,
Anschutz Family Foundation,2009,WesternSlope,Delta,"VOANS Senior CommUnity Meals, Inc.",7500.00,Eckert,,
Boettcher Foundation,2009,WesternSlope,Delta,Colorado FFA Association,1700.00,Hasty,,
Daniels Fund,2009,WesternSlope,Delta,"Delta County Meth Task Force, dba Drug Free Delta County",45000.00,Delta,,
Daniels Fund,2009,WesternSlope,Delta,Delta County School District 50-J,35000.00,Delta,,
Daniels Fund,2009,WesternSlope,Delta,"Volunteers of America National Services - Senior CommUnity Meals, Incorporated",25000.00,Eckert,,
El Pomar Foundation,2009,WesternSlope,Delta,"Altrusa International of Delta, Colorado, Inc.",2500.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County,10000.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Citizens for Animal Welfare and Shelter,5000.00,Paonia,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Joint School District 50J,1000.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Joint School District 50J,5000.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Joint School District 50J,10000.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Joint School District 50J,1000.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Joint School District 50J,45000.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Joint School District 50J,35000.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Delta,,
El Pomar Foundation,2009,WesternSlope,Delta,Delta County Joint School District 50J,1500.00,Delta,,
