funder,year,region,county,nonprofit,amount,city
Adolph Coors Foundation,2009,WesternSlope,Delta,All American Families,3000.00,Delta
Adolph Coors Foundation,2009,WesternSlope,Gunnison,Gunnison Valley Alliance for Community & Restorative Justice,3500.00,Gunnison
Adolph Coors Foundation,2009,WesternSlope,Gunnison,Gunnison County Partners,10000.00,Gunnison
Adolph Coors Foundation,2009,WesternSlope,Mesa,Colorado Discover Ability Integrated Outdoor Adventures,7500.00,Grand Junction
Adolph Coors Foundation,2009,WesternSlope,Mesa,Hilltop Community Resources,15000.00,Grand Junction
Adolph Coors Foundation,2009,WesternSlope,Mesa,Housing Resources of Western Colorado,15000.00,Grand Junction
Adolph Coors Foundation,2009,WesternSlope,Mesa,Mesa County Partners,80000.00,Grand Junction
Adolph Coors Foundation,2009,WesternSlope,Montrose,"Crisis Pregnancy Center of Montrose, Inc.",8500.00,Montrose
Adolph Coors Foundation,2009,WesternSlope,Montrose,Black Canyon Boys & Girls Club,10000.00,Montrose
Adolph Coors Foundation,2009,WesternSlope,Montrose,"Sharing Ministries, Inc.",20000.00,Montrose
Adolph Coors Foundation,2009,WesternSlope,San Miguel,Telluride Adaptive Ski Program,10000.00,Telluride
Adolph Coors Foundation,2010,WesternSlope,Mesa,Collbran Job Corps Center,3000.00,Collbran
Adolph Coors Foundation,2010,WesternSlope,Mesa,Boy Scouts of America/Western CO Council,5000.00,Grand Junction
Adolph Coors Foundation,2010,WesternSlope,Mesa,Kids Voting Mesa County,5000.00,Grand Junction
Adolph Coors Foundation,2010,WesternSlope,Montrose,RSVP Colorado West,5000.00,Montrose
Adolph Coors Foundation,2010,WesternSlope,San Miguel,The Pinhead Institute,7500.00,Telluride
Adolph Coors Foundation,2011,WesternSlope,Mesa,Girls On The Run of the Grand Valley,5000.00,Grand Junction
Adolph Coors Foundation,2011,WesternSlope,Mesa,Riverside Educational Center,7500.00,Grand Junction
Adolph Coors Foundation,2011,WesternSlope,Mesa,St. Mary's Foster Grandparent Program,7500.00,Grand Junction
Adolph Coors Foundation,2011,WesternSlope,Mesa,Western CO Math and Science Center,12000.00,Grand Junction
Adolph Coors Foundation,2011,WesternSlope,Montrose,Black Canyon Boys & Girls Club,10000.00,Montrose
Adolph Coors Foundation,2011,WesternSlope,Montrose,Delta Montrose Youth Services,15000.00,Montrose
Adolph Coors Foundation,2011,WesternSlope,Ouray,Ouray County Schools Community Resource Consortium,8000.00,Ridgway
Adolph Coors Foundation,2011,WesternSlope,San Miguel,San Miguel Mentoring Program,10000.00,Telluride
Adolph Coors Foundation,2012,WesternSlope,Gunnison,Gunnison Country Partners,15000.00,Gunnison
Adolph Coors Foundation,2012,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,10000.00,Grand Junction
Adolph Coors Foundation,2012,WesternSlope,Mesa,Mesa Youth Services,15000.00,Grand Junction
Animal Assistance Foundation,2009,WesternSlope,Delta,Delta County Humane Society,3000.00,Delta
Animal Assistance Foundation,2009,WesternSlope,Delta,Town of Cedaredge,3000.00,Cedaredge
Animal Assistance Foundation,2009,WesternSlope,Gunnison,Gunnison Valley Animal Welfare League,2000.00,Gunnison
Animal Assistance Foundation,2009,WesternSlope,Mesa,Two Pines Ranch Wildlife Rehab,100.00,Mesa
Animal Assistance Foundation,2009,WesternSlope,Mesa,CLAWS/Cats League & Assistance of Western Slope,3000.00,Grand Junction
Animal Assistance Foundation,2009,WesternSlope,Mesa,Community Cat Care,3000.00,Grand Junction
Animal Assistance Foundation,2009,WesternSlope,Mesa,Mesa County Animal Services,15080.00,Grand Junction
Animal Assistance Foundation,2009,WesternSlope,Montrose,Dream Catcher Therapy Center,5000.00,Olathe
Animal Assistance Foundation,2009,WesternSlope,Montrose,Montrose Animal Protection,5000.00,Montrose
Animal Assistance Foundation,2009,WesternSlope,Ouray,San Juan Riding Program,3000.00,Ridgway
Animal Assistance Foundation,2010,WesternSlope,Delta,Friends of Cedaredge Animal Control,3000.00,Cedaredge
Animal Assistance Foundation,2010,WesternSlope,Delta,Spirit Wind Horse Rescue,3500.00,Hotchkiss
Animal Assistance Foundation,2010,WesternSlope,Mesa,Mesa County Animal Services,5000.00,Grand Junction
Animal Assistance Foundation,2010,WesternSlope,Montrose,Citizens for Animal Welfare and Shelter (CAWS),1500.00,Crawford
Animal Assistance Foundation,2011,WesternSlope,Delta,Spirit Wind Horse Rescue,3600.00,Hotchkiss
Animal Assistance Foundation,2011,WesternSlope,Montrose,Hoof and Paw,2000.00,Nucla
Animal Assistance Foundation,2011,WesternSlope,Montrose,Montrose Animal Protection Agency,5000.00,Montrose
Animal Assistance Foundation,2011,WesternSlope,Montrose,Dream Catcher Therapy Center and End of Trail,10000.00,Olathe
Animal Assistance Foundation,2011,WesternSlope,Ouray,Second Chance Humane Society,5000.00,Ridgway
Animal Assistance Foundation,2012,WesternSlope,Delta,Friends of Cedaredge Animal Control,5000.00,Cedaredge
Animal Assistance Foundation,2012,WesternSlope,Mesa,CLAWS/Cats League & Assistance of Western Slope,5000.00,Grand Junction
Animal Assistance Foundation,2012,WesternSlope,Montrose,Montrose Animal Protection Agency,5000.00,Montrose
Animal Assistance Foundation,2012,WesternSlope,Ouray,Second Chance Humane Society,50000.00,Ridgway
Anschutz Family Foundation,2009,WesternSlope,Delta,North Fork Community Montessori School,5000.00,Hotchkiss
Anschutz Family Foundation,2009,WesternSlope,Gunnison,Paradise Place Community Christian School,2983.50,Crested Butte
Anschutz Family Foundation,2009,WesternSlope,Gunnison,"Adaptive Sports Center of Crested Butte, Inc.",5000.00,Crested Butte
Anschutz Family Foundation,2009,WesternSlope,Gunnison,Gunnison Area Restorative Practices,5000.00,Gunnison
Anschutz Family Foundation,2009,WesternSlope,Gunnison,Gunnison County Library District,5000.00,Gunnison
Anschutz Family Foundation,2009,WesternSlope,Mesa,Artspace & Open Studios,2700.00,Grand Junction
Anschutz Family Foundation,2009,WesternSlope,Mesa,"Child and Migrant Services, Inc.",5000.00,Palisade
Anschutz Family Foundation,2009,WesternSlope,Mesa,Colorado Discover Ability,5000.00,Grand Junction
Anschutz Family Foundation,2009,WesternSlope,Mesa,Counseling and Education Center,5000.00,Grand Junction
Anschutz Family Foundation,2009,WesternSlope,Mesa,St. Mary's Foster Grandparent Program,5000.00,Grand Junction
Anschutz Family Foundation,2009,WesternSlope,Mesa,The Literacy Center,5000.00,Grand Junction
Anschutz Family Foundation,2009,WesternSlope,Mesa,The Tree House Center for Youth,5000.00,Grand Junction
Anschutz Family Foundation,2009,WesternSlope,Mesa,Western Colorado Suicide Prevention Foundation,5000.00,Grand Junction
Anschutz Family Foundation,2009,WesternSlope,Mesa,Mesa County Partners,7500.00,Grand Junction
Anschutz Family Foundation,2009,WesternSlope,Mesa,Riverside Educational Center,7500.00,Grand Junction
Anschutz Family Foundation,2009,WesternSlope,Montrose,Black Canyon Boys and Girls Club,5000.00,Montrose
Anschutz Family Foundation,2009,WesternSlope,Montrose,Hospice & Palliative Care of Western Colorado,5000.00,Montrose
Anschutz Family Foundation,2009,WesternSlope,Montrose,"Partners of Delta, Montrose and Ouray",5000.00,Montrose
Anschutz Family Foundation,2009,WesternSlope,Montrose,Retired Seniors Volunteer Program-Colorado West,5000.00,Montrose
Anschutz Family Foundation,2009,WesternSlope,Montrose,"All Points Transit, Inc.",7500.00,Montrose
Anschutz Family Foundation,2009,WesternSlope,Ouray,Neighbor to Neighbor,5000.00,Ouray
Anschutz Family Foundation,2009,WesternSlope,Ouray,Second Chance Humane Society,5000.00,Ridgway
Anschutz Family Foundation,2009,WesternSlope,Ouray,Voyager Youth Program,5000.00,Ridgway
Anschutz Family Foundation,2009,WesternSlope,San Miguel,One Telluride,5000.00,Telluride
Anschutz Family Foundation,2009,WesternSlope,San Miguel,One to One,5000.00,Telluride
Anschutz Family Foundation,2009,WesternSlope,San Miguel,San Miguel Resource Center,5000.00,Telluride
Anschutz Family Foundation,2009,WesternSlope,San Miguel,Prime Time Early Learning Center,7500.00,Norwood
Anschutz Family Foundation,2010,WesternSlope,Delta,Kids' Pasta Project,5000.00,Hotchkiss
Anschutz Family Foundation,2010,WesternSlope,Delta,Delta County Meth Task Force,5000.00,Hotchkiss
Anschutz Family Foundation,2010,WesternSlope,Delta,Little Sprouts Community Preschool,5000.00,Cedaredge
Anschutz Family Foundation,2010,WesternSlope,Delta,Creamery Arts Center,5000.00,Hotchkiss
Anschutz Family Foundation,2010,WesternSlope,Gunnison,Paradise Place Community Christian School,2500.00,Crested Butte
Anschutz Family Foundation,2010,WesternSlope,Gunnison,Interim Western Slope Rural Philanthropy Days,5000.00,Crested Butte
Anschutz Family Foundation,2010,WesternSlope,Gunnison,Office for Resource Efficiency (ORE),5000.00,Crested Butte
Anschutz Family Foundation,2010,WesternSlope,Gunnison,Gunnison Area Restorative Practices,5000.00,Gunnison
Anschutz Family Foundation,2010,WesternSlope,Gunnison,Gunnison County Partners,5000.00,Gunnison
Anschutz Family Foundation,2010,WesternSlope,Mesa,"Pro Bono Project of Mesa County, Inc.",2500.00,Grand Junction
Anschutz Family Foundation,2010,WesternSlope,Mesa,"Mesa County, RSVP, Inc.",3242.00,Grand Junction
Anschutz Family Foundation,2010,WesternSlope,Mesa,"Eagle Corps Robotics, Grand Mesa High School",5000.00,Collbran
Anschutz Family Foundation,2010,WesternSlope,Mesa,Riverside Educational Center,5000.00,Grand Junction
Anschutz Family Foundation,2010,WesternSlope,Mesa,The Parenting Place of Western Colorado,5000.00,Grand Junction
Anschutz Family Foundation,2010,WesternSlope,Mesa,"The Tree House Center for Youth, Inc.",5000.00,Grand Junction
Anschutz Family Foundation,2010,WesternSlope,Mesa,Grand Valley Catholic Outreach,7500.00,Grand Junction
Anschutz Family Foundation,2010,WesternSlope,Montrose,Montrose County Health and Human Services,560.00,Montrose
Anschutz Family Foundation,2010,WesternSlope,Montrose,Voices for Children,5000.00,Montrose
Anschutz Family Foundation,2010,WesternSlope,Montrose,End of the Trail Horse Rescue/Sanctuary,5000.00,Olathe
Anschutz Family Foundation,2010,WesternSlope,Montrose,Sharing Ministries Food Bank,5000.00,Montrose
Anschutz Family Foundation,2010,WesternSlope,Montrose,West End Family Link Center,5000.00,Nucla
Anschutz Family Foundation,2010,WesternSlope,Montrose,"Partners of Delta, Montrose and Ouray",5000.00,Montrose
Anschutz Family Foundation,2010,WesternSlope,Montrose,Paradox Valley School,7500.00,Paradox
Anschutz Family Foundation,2010,WesternSlope,San Miguel,"University Centers of the San Miguel, Inc.",5000.00,Telluride
Anschutz Family Foundation,2010,WesternSlope,San Miguel,One to One,5000.00,Telluride
Anschutz Family Foundation,2011,WesternSlope,Delta,Delta County School District #50,5000.00,Delta
Anschutz Family Foundation,2011,WesternSlope,Delta,Little Sprouts Community Preschool,5000.00,Cedaredge
Anschutz Family Foundation,2011,WesternSlope,Delta,North Fork Community Montessori School,5000.00,Hotchkiss
Anschutz Family Foundation,2011,WesternSlope,Delta,FAMILIES PLUS,5000.00,Delta
Anschutz Family Foundation,2011,WesternSlope,Delta,Delta County Citizens for Animal Welfare and Shelter,5000.00,Paonia
Anschutz Family Foundation,2011,WesternSlope,Delta,Kids' Pasta Project,6000.00,Hotchkiss
Anschutz Family Foundation,2011,WesternSlope,Delta,"VOANS Senior CommUnity Meals, Inc.",7500.00,Eckert
Anschutz Family Foundation,2011,WesternSlope,Gunnison,Paradise Place Community Christian School,2500.00,Crested Butte
Anschutz Family Foundation,2011,WesternSlope,Gunnison,"Adaptive Sports Center of Crested Butte, Inc.",5000.00,Crested Butte
Anschutz Family Foundation,2011,WesternSlope,Gunnison,Gunnison Country Partners,5000.00,Gunnison
Anschutz Family Foundation,2011,WesternSlope,Hinsdale,Community Food Bank,5000.00,Grand Junction
Anschutz Family Foundation,2011,WesternSlope,Mesa,Grand Junction Imagination Library,3000.00,Grand Junction
