funder,region,county,nonprofit,amount,city,type,category,year
Adolph Coors Foundation,WesternSlope,Delta,All American Families,3000.00,Delta,General Operating,Children and Youth Services,2009
Animal Assistance Foundation,WesternSlope,Delta,Delta County Humane Society,3000.00,Delta,Program,Animal Protection and Welfare,2009
Animal Assistance Foundation,WesternSlope,Delta,Town of Cedaredge,3000.00,Cedaredge,Capital,Animal Protection and Welfare,2009
Anschutz Family Foundation,WesternSlope,Delta,North Fork Community Montessori School,5000.00,Hotchkiss,Program,Children and Youth Services,2009
Boettcher Foundation,WesternSlope,Delta,Paonia Public Library Foundation,25000.00,Paonia,Capital,,2009
The Colorado Trust,WesternSlope,Delta,"VOANS Senior CommUnity Meals, Inc.",122149.00,Eckert,Program,Health ,2009
The Colorado Trust,WesternSlope,Delta,Delta Barracuda Swim Team,1000.00,Paonia,General Operating,Children and Youth Services,2009
Daniels Fund,WesternSlope,Delta,Delta County,125000.00,Delta,Not Provided,Health ,2009
Daniels Fund,WesternSlope,Delta,All American Families,5000.00,Delta,General Operating,Human Services,2009
El Pomar Foundation,WesternSlope,Delta,"North Fork Valley Public Radio, Inc.",2500.00,Paonia,Program,"Arts, Culture & Humanities ",2009
Gates Family Foundation,WesternSlope,Delta,Western Slope Environmental Resource Council,25000.00,Paonia,Capital,"Environment, Conservation",2009
 Kenneth King Foundation,WesternSlope,Delta,Needlerock Mobile Family Health Clinic,1500.00,Crawford,General Operating,"Community, Public Affairs",2009
Temple Hoyne Buell Foundation,WesternSlope,Delta,Delta County Public Library,15000.00,Hotchkiss,Program,Education,2009
Temple Hoyne Buell Foundation,WesternSlope,Delta,North Fork Community Montessori School,15000.00,Hotchkiss,Student Aid/Scholarship,Education,2009
Temple Hoyne Buell Foundation,WesternSlope,Delta,Wee Care Learning Center,13000.00,Hotchkiss,Other,Education,2009
Temple Hoyne Buell Foundation,WesternSlope,Delta,Little Sprouts Community Preschool,8200.00,Cedaredge,Other,Education,2009
Temple Hoyne Buell Foundation,WesternSlope,Delta,Little Sprouts Community Preschool,8000.00,Cedaredge,General Operating,Education,2009
Temple Hoyne Buell Foundation,WesternSlope,Delta,Delta County Joint School District No. 50,7063.00,Delta,Other,Education,2009
Temple Hoyne Buell Foundation,WesternSlope,Delta,North Fork Community Montessori School,2000.00,Hotchkiss,Other,Education,2009
Adolph Coors Foundation,WesternSlope,Gunnison,Gunnison Valley Alliance for Community & Restor.,3500.00,Gunnison,General Operating,Human Services,2009
Adolph Coors Foundation,WesternSlope,Gunnison,Gunnison County Partners,10000.00,Gunnison,General Operating,Children and Youth Services,2009
Animal Assistance Foundation,WesternSlope,Gunnison,Gunnison Valley Animal Welfare League,2000.00,Gunnison,General Operating,Animal Protection and Welfare,2009
Anschutz Family Foundation,WesternSlope,Gunnison,"Adaptive Sports Center of Crested Butte, Inc.",5000.00,Crested Butte,General Operating,Disabled Persons,2009
Anschutz Family Foundation,WesternSlope,Gunnison,Paradise Place Community Christian School,2983.50,Crested Butte,General Operating,Children and Youth Services,2009
Anschutz Family Foundation,WesternSlope,Gunnison,Gunnison County Library District,5000.00,Gunnison,Program,Education,2009
Anschutz Family Foundation,WesternSlope,Gunnison,Gunnison Area Restorative Practices,5000.00,Gunnison,General Operating,Children and Youth Services,2009
Boettcher Foundation,WesternSlope,Gunnison,Crested Butte Land Trust,3000.00,Crested Butte,General Operating,,2009
Boettcher Foundation,WesternSlope,Gunnison,Western State College,15000.00,Gunnison,Student Aid/Scholarship,,2009
Caring for Colorado Foundation,WesternSlope,Gunnison,"Gunnison County Health and Human Services, Multicultural Resource Office",49088.00,Gunnison,General Operating,,2009
The Colorado Trust,WesternSlope,Gunnison,Gunnison County,7376.00,Gunnison,Program,Health ,2009
The Colorado Trust,WesternSlope,Gunnison,Gunnison County Public Health,187500.00,Gunnison,Program,Health ,2009
Daniels Fund,WesternSlope,Gunnison,Stepping Stones Children's Center,5000.00,Crested Butte,Other,Education,2009
Daniels Fund,WesternSlope,Gunnison,Gunnison Country Partners,15000.00,Gunnison,General Operating,Children and Youth Services,2009
El Pomar Foundation,WesternSlope,Gunnison,Center for the Arts,3500.00,Crested Butte,General Operating,"Arts, Culture & Humanities ",2009
El Pomar Foundation,WesternSlope,Gunnison,Crested Butte Music Festival,2500.00,Crested Butte,General Operating,"Arts, Culture & Humanities ",2009
El Pomar Foundation,WesternSlope,Gunnison,City of Gunnison,7106.00,Gunnison,Capital,"Community, Public Affairs",2009
El Pomar Foundation,WesternSlope,Gunnison,Gunnison County Library District,6000.00,Gunnison,Program,"Community, Public Affairs",2009
El Pomar Foundation,WesternSlope,Gunnison,Western State College Foundation,10000.00,Gunnison,General Operating,Education,2009
El Pomar Foundation,WesternSlope,Gunnison,Western State College Foundation,50000.00,Gunnison,Capital,Education,2009
Gates Family Foundation,WesternSlope,Gunnison,Rocky Mountain Biological Laboratory,30000.00,Crested Butte,Capital,Education,2009
Gates Family Foundation,WesternSlope,Gunnison,City of Gunnison,208000.00,Gunnison,Capital,"Environment, Conservation",2009
Helen K. and Arthur E. Johnson Foundation,WesternSlope,Gunnison,Gunnison Country Partners,20000.00,Gunnison,General Operating,,2009
 Kenneth King Foundation,WesternSlope,Gunnison,Living Journeys,1500.00,Crested Butte,General Operating,,2009
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Crystal Valley Preschool,25000.00,Marble,Capital,Education,2009
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Tenderfood Child & Family Development Center,22570.00,Gunnison,General Operating,Children and Youth Services,2009
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Gunnison County Department of Health and Human Services,18000.00,Gunnison,Program,Children and Youth Services,2009
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Tenderfood Child & Family Development Center,14000.00,Gunnison,Other,"Community, Public Affairs",2009
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Paradise Place Community Christian School,4000.00,Crested Butte,General Operating,Education,2009
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Paradise Place Community Christian School,8000.00,Crested Butte,Student Aid/Scholarship,Education,2009
Temple Hoyne Buell Foundation,WesternSlope,Gunnison,Stepping Stones Children's Center,5500.00,Crested Butte,Student Aid/Scholarship,Education,2009
El Pomar Foundation,WesternSlope,Hinsdale,Hinsdale County Historical Society,2500.00,Lake City,General Operating,"Arts, Culture & Humanities ",2009
Gates Family Foundation,WesternSlope,Hinsdale,Lake City Arts Council,100000.00,Lake City,Capital,"Arts, Culture & Humanities ",2009
Adolph Coors Foundation,WesternSlope,Mesa,Colorado Discover Ability Integrated Outdoor Adventures,7500.00,Grand Junction,General Operating,Human Services,2009
Adolph Coors Foundation,WesternSlope,Mesa,Hilltop Community Resources,15000.00,Grand Junction,Program,Human Services,2009
Adolph Coors Foundation,WesternSlope,Mesa,Housing Resources of Western Colorado,15000.00,Grand Junction,Capital,Human Services,2009
Adolph Coors Foundation,WesternSlope,Mesa,Mesa County Partners,80000.00,Grand Junction,Capital,Children and Youth Services,2009
Animal Assistance Foundation,WesternSlope,Mesa,Claws,3000.00,Grand Junction,Other,Animal Protection and Welfare,2009
Animal Assistance Foundation,WesternSlope,Mesa,Community Cat Care,3000.00,Grand Junction,Program,Animal Protection and Welfare,2009
Animal Assistance Foundation,WesternSlope,Mesa,Mesa County Animal Services,15080.00,Grand Junction,Program,Animal Protection and Welfare,2009
Animal Assistance Foundation,WesternSlope,Mesa,Two Pines Ranch Wildlife Rehab,100.00,Mesa,Student Aid/Scholarship,Animal Protection and Welfare,2009
Anschutz Family Foundation,WesternSlope,Mesa,St. Mary's Foster Grandparent Program,5000.00,Grand Junction,General Operating,Children and Youth Services,2009
Anschutz Family Foundation,WesternSlope,Mesa,Colorado Discover Ability,5000.00,Grand Junction,General Operating,Disabled Persons,2009
Anschutz Family Foundation,WesternSlope,Mesa,Riverside Educational Center,7500.00,Grand Junction,General Operating,Education,2009
Anschutz Family Foundation,WesternSlope,Mesa,"Child and Migrant Services, Inc.",5000.00,Palisade,General Operating,Human Services,2009
Anschutz Family Foundation,WesternSlope,Mesa,The Literacy Center,5000.00,Grand Junction,General Operating,Education,2009
Anschutz Family Foundation,WesternSlope,Mesa,Counseling and Education Center,5000.00,Grand Junction,General Operating,Health ,2009
Anschutz Family Foundation,WesternSlope,Mesa,Western Colorado Suicide Prevention Foundation,5000.00,Grand Junction,Program,Health ,2009
Anschutz Family Foundation,WesternSlope,Mesa,Artspace & Open Studios,2700.00,Grand Junction,Program,,2009
Anschutz Family Foundation,WesternSlope,Mesa,Mesa County Partners,7500.00,Grand Junction,General Operating,Children and Youth Services,2009
Anschutz Family Foundation,WesternSlope,Mesa,The Tree House Center for Youth,5000.00,Grand Junction,Program,Children and Youth Services,2009
Boettcher Foundation,WesternSlope,Mesa,Mesa State College,200000.00,Grand Junction,Capital,Education,2009
Boettcher Foundation,WesternSlope,Mesa,Mesa State College,24261.00,Grand Junction,Student Aid/Scholarship,,2009
Boettcher Foundation,WesternSlope,Mesa,Western Colorado Community Foundation,1000.00,Grand Junction,Program,,2009
Caring for Colorado Foundation,WesternSlope,Mesa,"Child and Migrant Services, Inc.",23000.00,Palisade,General Operating,,2009
Caring for Colorado Foundation,WesternSlope,Mesa,"Hilltop Community Resources, Inc.",35000.00,Grand Junction,General Operating,,2009
Caring for Colorado Foundation,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,40000.00,Grand Junction,General Operating,Hospice,2009
Caring for Colorado Foundation,WesternSlope,Mesa,"Marillac Clinic, Inc.",50000.00,Grand Junction,General Operating,,2009
Caring for Colorado Foundation,WesternSlope,Mesa,Mesa State College,50000.00,Grand Junction,General Operating,Education,2009
Caring for Colorado Foundation,WesternSlope,Mesa,Western Colorado Area Health Education Center (WCAHEC),56000.00,Grand Junction,General Operating,,2009
The Colorado Health Foundation,WesternSlope,Mesa,Grand Valley Catholic Outreach,40000.00,Grand Junction,Program,Health ,2009
The Colorado Health Foundation,WesternSlope,Mesa,Hilltop Health Services Corporation,25000.00,Grand Junction,Program,Health ,2009
The Colorado Health Foundation,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,375000.00,Grand Junction,Program,Health ,2009
The Colorado Health Foundation,WesternSlope,Mesa,Hospice and Palliative Care of Western Colorado,25000.00,Grand Junction,Program,Health ,2009
The Colorado Health Foundation,WesternSlope,Mesa,"Marillac Clinic, Inc.",5000.00,Grand Junction,Program,Health ,2009
The Colorado Health Foundation,WesternSlope,Mesa,"Marillac Clinic, Inc.",200000.00,Grand Junction,Program,Health ,2009
The Colorado Health Foundation,WesternSlope,Mesa,Mesa County,50000.00,Grand Junction,Program,Health ,2009
The Colorado Health Foundation,WesternSlope,Mesa,Quality Health Network,640000.00,Grand Junction,Program,Health ,2009
The Colorado Health Foundation,WesternSlope,Mesa,Rocky Mountain Health Plans Foundation,75000.00,Grand Junction,Program,Health ,2009
The Colorado Trust,WesternSlope,Mesa,"Hilltop Community Resource, Inc.",231000.00,Grand Junction,Program,Health ,2009
The Colorado Trust,WesternSlope,Mesa,"Hilltop Community Resource, Inc.",7500.00,Grand Junction,Program,Health ,2009
The Colorado Trust,WesternSlope,Mesa,Mesa County Partnership for Children and Families,184500.00,Grand Junction,Program,Health ,2009
The Colorado Trust,WesternSlope,Mesa,Mesa County Health Department,187500.00,Grand Junction,Program,Health ,2009
