funder,year,region,county,nonprofit,amount,city,type,category
Adolph Coors Foundation,2009,Northwest,Grand,Pregnancy Resource Connection,5000.00,Granby,General Operating,Human Services
Animal Assistance Foundation,2009,Northwest,Routt,Born Free Wildlife,2500.00,Steamboat Springs,Not Provided,Animal Protection and Welfare
Animal Assistance Foundation,2009,Northwest,Routt,Health Care Foundation of the Yampa Valley,1000.00,Steamboat Springs,General Operating,Health                                                                     
Animal Assistance Foundation,2009,Northwest,Grand,Troublesome Horse Rescue,3000.00,Kremmling,General Operating,Animal Protection and Welfare
Anschutz Family Foundation,2009,Northwest,Routt,Advocates Against Battering and Abuse,1300.00,Steamboat Springs,General Operating,"Domestic Violence Shelters, Services"
Anschutz Family Foundation,2009,Northwest,Grand,ADVOCATES: Victim Assistance Team of Grand County,5000.00,Hot Sulphur Springs,General Operating,"Domestic Violence Shelters, Services"
Anschutz Family Foundation,2009,Northwest,Moffat,Boys and Girls Club of Craig & Steamboat Springs,7500.00,Craig,General Operating,Children and Youth Services
Anschutz Family Foundation,2009,Northwest,Grand,Grand Foundation,7500.00,Winter Park,General Operating,"Community, Public Affairs"
Anschutz Family Foundation,2009,Northwest,Routt,Humble Ranch Education and Therapy Center,5000.00,Steamboat Springs,General Operating,Disabled Persons
Anschutz Family Foundation,2009,Northwest,Routt,Integrated Community/Comunidad Integrada,5000.00,Steamboat Springs,General Operating,
Anschutz Family Foundation,2009,Northwest,Routt,Partners in Routt County,5000.00,Steamboat Springs,General Operating,Children and Youth Services
Anschutz Family Foundation,2009,Northwest,Routt,Yampa Valley Autism Program,5000.00,Steamboat Springs,Program,Health                                                                     
Boettcher Foundation,2009,Northwest,Moffat,Boys & Girls Club of Craig,10000.00,Craig,Capital,Children and Youth Services
Boettcher Foundation,2009,Northwest,Rio Blanco,Colorado Northwestern Community College,50000.00,Rangely,Capital,Education
Boettcher Foundation,2009,Northwest,Routt,East Routt Library District,25000.00,Steamboat Springs,Capital,
Boettcher Foundation,2009,Northwest,Jackson,North Park School District R-1,50000.00,Walden,Capital,
Boettcher Foundation,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,75000.00,Steamboat Springs,Capital,
Bonfils Stanton Foundation,2009,Northwest,Routt,Rocky Mountain Youth Corps,12500.00,Steamboat Springs,Program,Children and Youth Services
Caring for Colorado Foundation,2009,Northwest,Routt,"Northwest Colorado Visiting Nurse Association, Inc.",50000.00,Steamboat Springs,General Operating,
Caring for Colorado Foundation,2009,Northwest,Rio Blanco,Rangely District Hospital,25000.00,Rangely,General Operating,Health                                                                     
Daniels Fund,2009,Northwest,Grand,Fraser Creative Learning Center,3000.00,Fraser,Program,Education
Daniels Fund,2009,Northwest,Routt,"Horizons Specialized Services, Inc.",10000.00,Steamboat Springs,General Operating,Disabled Persons
Daniels Fund,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,150000.00,Steamboat Springs,Program,Health                                                                     
Daniels Fund,2009,Northwest,Routt,Partners in Routt County,12500.00,Steamboat Springs,Program,Children and Youth Services
Daniels Fund,2009,Northwest,Routt,Rocky Mountain Youth Corps,15000.00,Steamboat Springs,General Operating,Children and Youth Services
El Pomar Foundation,2009,Northwest,Routt,Advocates Against Battering and Abuse,5000.00,Steamboat Springs,Program,"Domestic Violence Shelters, Services"
El Pomar Foundation,2009,Northwest,Routt,Hayden School District RE-1,15000.00,Hayden,Capital,Education
El Pomar Foundation,2009,Northwest,Routt,Northwest Colorado Visiting Nurse Association,10000.00,Steamboat Springs,Capital,Health                                                                     
El Pomar Foundation,2009,Northwest,Grand,Rocky Mountain Repertory Theatre,10000.00,Grand Lake,Capital,"Arts, Culture & Humanities "
El Pomar Foundation,2009,Northwest,Routt,Rocky Mountain Youth Corps,5000.00,Steamboat Springs,General Operating,Children and Youth Services
El Pomar Foundation,2009,Northwest,Grand,Shining Stars Foundation,5000.00,Tabernash,General Operating,
El Pomar Foundation,2009,Northwest,Routt,Strings in the Mountains,15000.00,Steamboat Springs,General Operating,"Arts, Culture & Humanities "
El Pomar Foundation,2009,Northwest,Routt,Yampa Valley Community Foundation,5000.00,Steamboat Springs,General Operating,"Community, Public Affairs"
El Pomar Foundation,2009,Northwest,Routt,Advocates Against Battering and Abuse,37350.00,Steamboat Springs,Program,"Domestic Violence Shelters, Services"
El Pomar Foundation,2009,Northwest,Routt,Life Inter Faith Team on Unemployment and Poverty (Lift-Up),15000.00,Steamboat Springs,Program,Emergency Assistance      
