funder,year,region,county,nonprofit,amount,city,type ,category,,,,,
Adolph Coors Foundation,2009,Mountain,Garfield,"Institute for Civic Achievement, Inc.",2500.00,Glenwood Springs,Program,"Community, Public Affairs",,,,,
Adolph Coors Foundation,2009,Mountain,Summit,Summit County Family Resource Center,6000.00,Dillon,Program,Human Services,,,,,
Adolph Coors Foundation,2010,Mountain,Summit,Breckenridge Outdoor Education Center,20000.00,Breckenridge,General Operating,,,,,,
Adolph Coors Foundation,2010,Mountain,Garfield,"Columbine Home Health, Inc.",10000.00,Glenwood Springs,General Operating,,,,,,
Adolph Coors Foundation,2010,Mountain,Eagle,Eagle River Youth Coalition,5000.00,Edwards,General Operating,,,,,,
Adolph Coors Foundation,2010,Mountain,Garfield,Family Visitor Program,10000.00,Glenwood Springs,General Operating,,,,,,
Adolph Coors Foundation,2010,Mountain,Lake,Full Circle of Lake County,10000.00,Leadville,General Operating,,,,,,
Adolph Coors Foundation,2010,Mountain,Pitkin,The Buddy Program,10000.00,Aspen,General Operating,,,,,,
Adolph Coors Foundation,2010,Mountain,Eagle,Youth Foundation,7500.00,Edwards,General Operating,,,,,,
Adolph Coors Foundation,2011,Mountain,Eagle,Access Roaring Fork,10000.00,Basalt,General Operating,,,,,,
Adolph Coors Foundation,2011,Mountain,Pitkin,Computers for Kids Foundation,10000.00,Carbondale,General Operating,,,,,,
Adolph Coors Foundation,2011,Mountain,Garfield,Roaring Fork Business Resource Center,5000.00,Glenwood Springs,General Operating,,,,,,
Adolph Coors Foundation,2011,Mountain,Summit,Summit County Family Resource Center,10000.00,Dillon,General Operating,,,,,,
Adolph Coors Foundation,2011,Mountain,Garfield,YouthZone,10000.00,Glenwood Springs,General Operating,,,,,,
Adolph Coors Foundation,2012,Mountain,Garfield,Garfield County Public Library Foundation,10000.00,Rifle,Capital,"Community, Public Affairs",,,,,
Adolph Coors Foundation,2012,Mountain,Eagle,SOS Outreach,10000.00,Avon,General Operating,,,,,,
Adolph Coors Foundation,2012,Mountain,Pitkin,The Buddy Program,10000.00,Aspen,General Operating,Children and Youth Services,,,,,
Adolph Coors Foundation,2013,Mountain,Eagle,Walking Mountains Science Center,10000.00,Avon,Program,Youth,3/29/13,,,,
Adolph Coors Foundation,2013,Mountain,Garfield,Computers for Kids Foundation,10000.00,Carbondale,General Operating,Youth,3/29/13,,,,
Adolph Coors Foundation,2013,Mountain,Garfield,New Ute Theatre Society,25000.00,Rifle,General Operating,Economic Development,3/29/13,,,,
Adolph Coors Foundation,2013,Mountain,Lake,"Lake City Downtown Improvement & Revitalization Team (DIRT), Inc.",10000.00,Lake City,Program,Economic Development,7/31/13,,,,
Adolph Coors Foundation,2013,Mountain,Lake,Full Circle of Lake County. Inc.,10000.00,Leadville,General Operating,Youth,11/27/13,,,,
Adolph Coors Foundation,2013,Mountain,Lake,Partnership For Lake County Recreation,25000.00,Leadville,General Operating,Economic Development,3/29/13,,,,
Anschutz Family Foundation,2009,Mountain,Garfield,"Advocate Safehouse Project, Inc.",5000.00,Glenwood Springs,General Operating,"Domestic Violence Shelters, Services",,,,,
Anschutz Family Foundation,2009,Mountain,Summit,"Advocates for Victims of Assult, Inc.",5000.00,Frisco,General Operating,"Domestic Violence Shelters, Services",,,,,
Anschutz Family Foundation,2009,Mountain,Garfield,"Alpine Legal Services, Inc.",5000.00,Glenwood Springs,General Operating,Legal Services,,,,,
Anschutz Family Foundation,2009,Mountain,Summit,CASA of the Continental Divide,5000.00,Dillon,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2009,Mountain,Eagle,English in Action,5000.00,Basalt,General Operating,,,,,,
Anschutz Family Foundation,2009,Mountain,Garfield,Kelsey's Kids,3500.00,Glenwood Springs,General Operating,Health                                                                     ,,,,,
Anschutz Family Foundation,2009,Mountain,Garfield,Roaring Fork Valley Early Learning Center,5000.00,Glenwood Springs,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2009,Mountain,Garfield,Senior Matters,5000.00,Carbondale,Program,,,,,,
Anschutz Family Foundation,2009,Mountain,Summit,"Summit Community Care Clinic, Inc.",7500.00,Frisco,General Operating,Health                                                                     ,,,,,
Anschutz Family Foundation,2009,Mountain,Summit,Summit Medical Center Health Foundation,5000.00,Frisco,General Operating,Health                                                                     ,,,,,
Anschutz Family Foundation,2009,Mountain,Eagle,The Eagle River Youth Coalition,5000.00,Edwards,Program,,,,,,
Anschutz Family Foundation,2009,Mountain,Garfield,Third Street Center,10000.00,Carbondale,Capital,"Community, Public Affairs",,,,,
Anschutz Family Foundation,2009,Mountain,Garfield,WindWalkers Equine Assisted Learning & Therapy Center,5000.00,Carbondale,General Operating,Disabled Persons,,,,,
Anschutz Family Foundation,2009,Mountain,Garfield,Yampah Teen Parent Program,5000.00,Glenwood Springs,General Operating,,,,,,
Anschutz Family Foundation,2009,Mountain,Garfield,Youthentity,5000.00,Carbondale,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2009,Mountain,Garfield,YouthZone,5000.00,Glenwood Springs,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2010,Mountain,Eagle,Eagle River Youth Coalition,5000.00,Edwards,Other,Children and Youth Services,,,,,
Anschutz Family Foundation,2010,Mountain,Garfield,The Manaus Fund,5000.00,Carbondale,Program,Children and Youth Services,,,,,
Anschutz Family Foundation,2010,Mountain,Summit,CASA of the Continental Divide,5000.00,Dillon,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2010,Mountain,Summit,Breckenridge Outdoor Education Center,5000.00,Breckenridge,General Operating,Disabled Persons,,,,,
Anschutz Family Foundation,2010,Mountain,Garfield,"Blue Lake Preschool, Inc.",5000.00,Carbondale,Program,Children and Youth Services,,,,,
Anschutz Family Foundation,2010,Mountain,Garfield,Crystal Valley Preschool,3500.00,Marble,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2010,Mountain,Lake,Small Steps of Lake County,2400.00,Leadville,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2010,Mountain,Garfield,Family Visitor Programs,7500.00,Glenwood Springs,Program,,,,,,
Anschutz Family Foundation,2010,Mountain,Garfield,Roaring Fork Family Resource Center,5000.00,Carbondale,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2010,Mountain,Garfield,"Alpine Legal Services, Inc.",5000.00,Glenwood Springs,General Operating,Legal Services,,,,,
Anschutz Family Foundation,2010,Mountain,Garfield,Feed My Sheep Ministry,5000.00,New Castle,General Operating,Human Services,,,,,
Anschutz Family Foundation,2010,Mountain,Garfield,LIFT-UP,5000.00,Glenwood Springs,Program,"Food, Agriculture, Nutrition",,,,,
Anschutz Family Foundation,2010,Mountain,Garfield,Tom's Door,2000.00,Carbondale,General Operating,Emergency Assistance      ,,,,,
Anschutz Family Foundation,2010,Mountain,Eagle,Can Do Multiple Sclerosis,5000.00,Edwards,General Operating,Health                                                                     ,,,,,
Anschutz Family Foundation,2010,Mountain,Summit,Summit Community Care Clinic,5000.00,Frisco,General Operating,Health                                                                     ,,,,,
Anschutz Family Foundation,2010,Mountain,Garfield,Literacy Outreach,5000.00,Glenwood Springs,General Operating,Education,,,,,
Anschutz Family Foundation,2010,Mountain,Eagle,English in Action,5000.00,Basalt,General Operating,,,,,,
Anschutz Family Foundation,2010,Mountain,Summit,Family & Intercultural Resource Center,5000.00,Dillon,Program,Emergency Assistance      ,,,,,
Anschutz Family Foundation,2010,Mountain,Garfield,"Advocate Safehouse Project, Inc.",5000.00,Glenwood Springs,General Operating,"Domestic Violence Shelters, Services",,,,,
Anschutz Family Foundation,2010,Mountain,Lake,"Full Circle of Lake County, Inc.",5000.00,Leadville,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2010,Mountain,Eagle,SOS Outreach,5000.00,Avon,General Operating,Children and Youth Services,,,,,
Anschutz Family Foundation,2010,Mountain,Summit,Summit County Youth and Family Services,5000.00,Frisco,Program,Children and Youth Services,,,,,
Anschutz Family Foundation,2011,Mountain,Summit,Breckenridge Outdoor Education Center,5000.00,Breckenridge,General Operating,Disabled Persons,,,,,
Anschutz Family Foundation,2011,Mountain,Garfield,Wind Walkers Equine Assisted Learning & Therapy Center,5000.00,Carbondale,General Operating,Disabled Persons,,,,,
