funder,year,region,county,nonprofit,amount,city,type ,category,
Adolph Coors Foundation,2009,Northeast,Logan,Logan County Literacy Coalition,3000.00,Sterling,General Operating,Education,
Adolph Coors Foundation,2009,Northeast,Phillips,"Phillips County, Colorado",40000.00,Holyoke,Program,"Community, Public Affairs",
Adolph Coors Foundation,2009,Northeast,Morgan,Sexual Assault Response Advocates,5000.00,Fort Morgan,Program,Human Services,
Adolph Coors Foundation,2009,Northeast,Morgan,"Share, Inc.",13000.00,Fort Morgan,Program,Human Services,
Adolph Coors Foundation,2009,Northeast,Morgan,The Production Company,5000.00,Wiggins,Program,Children and Youth Services,
Adolph Coors Foundation,2010,Northeast,Yuma,City of Wray (Friends of Wray Public Library),10000.00,Wray,Capital,,
Adolph Coors Foundation,2010,Northeast,Kit Carson,"Dynamic Dimension, Inc.",5000.00,Burlington,General Operating,,
Adolph Coors Foundation,2010,Northeast,Kit Carson,"Prairie Family Center, Inc.",5000.00,Burlington,General Operating,,
Adolph Coors Foundation,2012,Northeast,Morgan,The Production Company,5000.00,Wiggins,General Operating,"Arts, Culture & Humanities ",
Adolph Coors Foundation,2012,Northeast,Yuma,"Wray Area Foundation, Inc.",5000.00,Wray,General Operating,"Community, Public Affairs",
Adolph Coors Foundation,2012,Northeast,Yuma,Wray Rehabilitation & Activities Center,25000.00,Wray,General Operating,,
Adolph Coors Foundation,2012,Northeast,Yuma,Young Americans Center for Financial Education,10000.00,Wray,General Operating,Education,
Adolph Coors Foundation,2013,Northeast,Logan,Family Resource Center,10000.00,Sterling,Program,Youth,11/27/13
Adolph Coors Foundation,2013,Northeast,Phillips,A Sanctuary for Military Families,15000.00,Granby,General Operating,Military/Family,7/31/13
Anschutz Family Foundation,2009,Northeast,Morgan,"Caring Ministries of Morgan County, Inc.",5000.00,Fort Morgan,General Operating,Emergency Assistance      ,
Anschutz Family Foundation,2009,Northeast,Lincoln,Lincoln County Economic Development Corporation,6000.00,Limon,General Operating,Economic Development      ,
Anschutz Family Foundation,2009,Northeast,Logan,Logan County Literacy Coalition,5000.00,Sterling,General Operating,Education,
Anschutz Family Foundation,2009,Northeast,Morgan,Morgan Community College,5070.00,Fort Morgan,Program,,
Anschutz Family Foundation,2009,Northeast,Morgan,Morgan Humane Society,5000.00,Fort Morgan,General Operating,Animal Protection and Welfare,
Anschutz Family Foundation,2009,Northeast,Logan,Northeast Colorado Health Department,5000.00,Sterling,Program,Disabled Persons,
Anschutz Family Foundation,2009,Northeast,Morgan,The Production Company,7500.00,Wiggins,General Operating,"Arts, Culture & Humanities ",
Anschutz Family Foundation,2009,Northeast,Kit Carson,Wee Blew Inn Preschool,5000.00,Burlington,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Northeast,Yuma,Wray Community Child Care Center,5000.00,Wray,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Northeast,Yuma,"Wray Rehabilitation and Activities Center, Inc.",5000.00,Wray,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Northeast,Yuma,Yuma Conservation District,5000.00,Yuma,Program,Economic Development      ,
Anschutz Family Foundation,2010,Northeast,Morgan,The Production Company,5000.00,Wiggins,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Northeast,Morgan,OneMorgan County,5000.00,Fort Morgan,General Operating,"Community, Public Affairs",
Anschutz Family Foundation,2010,Northeast,Yuma,Wray Community Child Care Center,5000.00,Wray,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Northeast,Yuma,M12 Incorporated,5000.00,Yuma,General Operating,Economic Development      ,
Anschutz Family Foundation,2010,Northeast,Logan,Morgan County Family Center,5000.00,Fort Morgan,General Operating,,
Anschutz Family Foundation,2010,Northeast,Morgan,"Caring Ministries of Morgan County, Inc.",5000.00,Fort Morgan,General Operating,"Housing, Homeless shelters",
Anschutz Family Foundation,2010,Northeast,Lincoln,Plains Medical Center,5000.00,Limon,Program,Health                                                                     ,
Anschutz Family Foundation,2010,Northeast,Phillips,"Phillips County Family Education Services, Inc.",5000.00,Holyoke,General Operating,Education,
Anschutz Family Foundation,2010,Northeast,Morgan,"S.A.R.A., Inc.",5000.00,Fort Morgan,General Operating,Abuse & Neglect Prevention,
Anschutz Family Foundation,2010,Northeast,Morgan,"S.H.A.R.E., Inc.",3709.00,Fort Morgan,Program,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2011,Northeast,Logan,ECCLPS,5000.00,Sterling,Program,Children and Youth Services,
Anschutz Family Foundation,2011,Northeast,Lincoln,Wee Blew Inn Preschool,5000.00,Burlington,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Northeast,Yuma,M12 Incorporated,5000.00,Yuma,General Operating,Economic Development      ,
Anschutz Family Foundation,2011,Northeast,Yuma,Baby Bear Hugs,5000.00,Yuma,General Operating,,
Anschutz Family Foundation,2011,Northeast,Logan,The Family Resource Center,5000.00,Sterling,General Operating,,
Anschutz Family Foundation,2011,Northeast,Logan,Cooperating Ministry of Logan County,7500.00,Sterling,Program,"Housing, Homeless shelters",
Anschutz Family Foundation,2011,Northeast,Yuma,"Wray Rehabilitation & Activities Center, Inc.",5000.00,Wray,General Operating,Health                                                                     ,
Anschutz Family Foundation,2011,Northeast,Morgan,Fort Morgan Humane Society,3000.00,Fort Morgan,General Operating,Animal Protection and Welfare,
Anschutz Family Foundation,2011,Northeast,Logan,Logan County Literacy Coalition,2500.00,Sterling,General Operating,Education,
Anschutz Family Foundation,2011,Northeast,Phillips,"Phillips County Family Education Services, Inc.",5000.00,Holyoke,General Operating,Education,
Anschutz Family Foundation,2011,Northeast,Yuma,Wray Senior Community Center,7500.00,Wray,General Operating,,
Anschutz Family Foundation,2011,Northeast,Morgan,The School for the Performing Arts,5000.00,Fort Morgan,General Operating,Children and Youth Services,
Anschutz Family Foundation,2012,Northeast,Morgan,OneMorgan County,5000.00,Ft. Morgan,General Operating,"Civic, Community and Capacity Building",
Anschutz Family Foundation,2012,Northeast,Morgan,"S.A.R.A., Inc.",7140.00,Fort Morgan,General Operating,Crisis Intervention ,
Anschutz Family Foundation,2012,Northeast,Elbert,Pikes Peak Therapeutic Riding Center,5000.00,Elbert,General Operating,Disabled,
Anschutz Family Foundation,2012,Northeast,Morgan,Caring Ministries of Morgan County,5000.00,Fort Morgan,General Operating,Food/Shelter/Homeless,
Anschutz Family Foundation,2012,Northeast,Yuma,"Wray Rehabilitation & Activities Center, Inc. ",10000.00,Wray,General Operating,Health and Hospice,
Anschutz Family Foundation,2012,Northeast,Elbert,Elbert County Coalition for Outreach,7500.00,Kiowa,Program,Self Sufficiency,
Anschutz Family Foundation,2012,Northeast,Logan,The Family Resource Center,7500.00,Sterling,Program,Self Sufficiency,
Anschutz Family Foundation,2012,Northeast,Washington,"Golden Plains, Inc. ",6000.00,Akron,Program,Self Sufficiency,
Anschutz Family Foundation,2012,Northeast,Kit Carson ,"Prairie Family Center, Inc. ",5000.00,Burlington,General Operating,Self Sufficiency,
Anschutz Family Foundation,2012,Northeast,Yuma,Baby Bear Hugs,7500.00,Yuma,General Operating,Youth Development,
Anschutz Family Foundation,2012,Northeast,Phillips,The Dragon's Wagon,7500.00,Holyoke,General Operating,Youth Development,
Anschutz Family Foundation,2012,Northeast,Morgan,Kids at Their Best,5000.00,Wiggins,General Operating,Youth Development,
Anschutz Family Foundation,2012,Northeast,Morgan,Morgan County Early Childhood Council,5000.00,Fort Morgan,Program,Youth Development,
Anschutz Family Foundation,2012,Northeast,Yuma,Wray Community Child Care Center,5000.00,Wray,General Operating,Youth Development,
Anschutz Family Foundation,2013,Northeast,Morgan,Brush Main Street Foundation,5000.00,Brush,General Operating,"Civic, Community, and Capacity Building",11/30/13
Anschutz Family Foundation,2013,Northeast,Lincoln,Colorado East Community Action Agency,8000.00,Limon,General Operating,Self Sufficiency,11/30/13
Anschutz Family Foundation,2013,Northeast,Kit Carson,"Dynamic Dimension, Inc.",7500.00,Burlington,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,Northeast,Yuma,"Encore Life, Inc.",10000.00,Wray,General Operating,Senior Programs,11/30/13
