funder,year,region,county,nonprofit,amount,city,type ,category,
Adolph Coors Foundation,2009,Northwest,Grand,Pregnancy Resource Connection,5000.00,Granby,General Operating,Human Services,
Adolph Coors Foundation,2010,Northwest,Moffat,Boys & Girls Club of Craig,15000.00,Craig,General Operating,Children and Youth Services,
Adolph Coors Foundation,2010,Northwest,Routt,Northwest CO Visiting Nurse Association,20000.00,Steamboat Springs,General Operating,,
Adolph Coors Foundation,2010,Northwest,Routt,Partners in Routt Coutny,7000.00,Steamboat Springs,General Operating,,
Adolph Coors Foundation,2010,Northwest,Routt,Steamboat Training Adaptive Recreational Sports,5000.00,Steamboat Springs,General Operating,,
Adolph Coors Foundation,2011,Northwest,Routt,Family Resource Center,10000.00,Sterling,General Operating,,
Adolph Coors Foundation,2011,Northwest,Routt,Steamboat Springs Pregnancy Resource Center,8000.00,Steamboat Springs,General Operating,,
Adolph Coors Foundation,2012,Northwest,Grand,Heart of the Mountains Volunteer Hospice,5000.00,Hot Sulphur Springs,General Operating,Hospice,
Adolph Coors Foundation,2012,Northwest,Routt,Partners in Routt County,10000.00,Steamboat Springs,General Operating,,
Adolph Coors Foundation,2012,Northwest,Grand,"Pregnancy Resource Connection, Inc.",8000.00,Granby,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Northwest,Routt,Advocates Against Battering and Abuse,1300.00,Steamboat Springs,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Northwest,Grand,ADVOCATES: Victim Assistance Team of Grand County,5000.00,Hot Sulphur Springs,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Northwest,Moffat,Boys and Girls Club of Craig & Steamboat Springs,7500.00,Craig,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Northwest,Grand,Grand Foundation,7500.00,Winter Park,General Operating,"Community, Public Affairs",
Anschutz Family Foundation,2009,Northwest,Routt,Humble Ranch Education and Therapy Center,5000.00,Steamboat Springs,General Operating,Disabled Persons,
Anschutz Family Foundation,2009,Northwest,Routt,Integrated Community/Comunidad Integrada,5000.00,Steamboat Springs,General Operating,,
Anschutz Family Foundation,2009,Northwest,Routt,Partners in Routt County,5000.00,Steamboat Springs,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Northwest,Routt,Yampa Valley Autism Program,5000.00,Steamboat Springs,Program,Health                                                                     ,
Anschutz Family Foundation,2010,Northwest,Moffat,Yampa Valley Partners,2325.00,Craig,General Operating,"Community, Public Affairs",
Anschutz Family Foundation,2010,Northwest,Moffat,"Independent Life Center, Inc.",5000.00,Craig,Program,Disabled Persons,
Anschutz Family Foundation,2010,Northwest,Routt,Grand Futures Prevention Coalition,5000.00,Steamboat Springs,General Operating,,
