funder,year,region,county,nonprofit,amount,city,type,category
Adolph Coors Foundation,2009,Northwest,Grand,Pregnancy Resource Connection,5000,Granby,General Operating,Human Services
Adolph Coors Foundation,2012,Northwest,Grand,Heart of the Mountains Volunteer Hospice,5000,Hot Sulphur Springs,General Operating,Hospice
Adolph Coors Foundation,2012,Northwest,Grand,"Pregnancy Resource Connection, Inc.",8000,Granby,General Operating,Health                                                                     
Adolph Coors Foundation,2010,Northwest,Moffat,Boys & Girls Club of Craig,15000.00,Craig,General Operating,Children and Youth Services
Adolph Coors Foundation,2010,Northwest,Routt,Northwest CO Visiting Nurse Association,20000.00,Steamboat Springs,General Operating,
Adolph Coors Foundation,2010,Northwest,Routt,Partners in Routt Coutny,7000.00,Steamboat Springs,General Operating,
Adolph Coors Foundation,2010,Northwest,Routt,Steamboat Training Adaptive Recreational Sports,5000.00,Steamboat Springs,General Operating,
Adolph Coors Foundation,2011,Northwest,Routt,Family Resource Center,10000.00,Sterling,General Operating,
Adolph Coors Foundation,2011,Northwest,Routt,Steamboat Springs Pregnancy Resource Center,8000.00,Steamboat Springs,General Operating,
Adolph Coors Foundation,2012,Northwest,Routt,Partners in Routt County,10000.00,Steamboat Springs,General Operating,
Animal Assistance Foundation,2009,Northwest,Grand,Troublesome Horse Rescue,3000,Kremmling,General Operating,Animal Protection and Welfare
Animal Assistance Foundation,2010,Northwest,Moffat,Humane Society of Moffat County,5000.00,Craig,Program,Animal Protection and Welfare
Animal Assistance Foundation,2011,Northwest,Moffat,Humane Society of Moffat County ,2500.00,Craig,Program,Animal Protection and Welfare
Animal Assistance Foundation,2010,Northwest,Rio Blanco,Town of Rangely Animal Shelter,5000.00,Rangely,Program,Animal Protection and Welfare
Animal Assistance Foundation,2011,Northwest,Rio Blanco,Town of Rangely Animal Shelter,5000.00,Rangely,Program,Animal Protection and Welfare
Animal Assistance Foundation,2009,Northwest,Routt,Born Free Wildlife,2500.00,Steamboat Springs,Not Provided,Animal Protection and Welfare
Animal Assistance Foundation,2009,Northwest,Routt,Health Care Foundation of the Yampa Valley,1000.00,Steamboat Springs,General Operating,Health                                                                     
Animal Assistance Foundation,2010,Northwest,Routt,Born Free Wildlife,2500.00,Steamboat Springs,Not Provided,Animal Protection and Welfare
Animal Assistance Foundation,2010,Northwest,Routt,Humble Ranch Education & Therapy Center,3000.00,Steamboat Springs,Program,Animal Protection and Welfare
Animal Assistance Foundation,2010,Northwest,Routt,Routt County Humane Society,9000.00,Steamboat Springs,Program,Animal Protection and Welfare
Animal Assistance Foundation,2012,Northwest,Routt,Routt County Human Society,5000.00,Steamboat Springs,Program,Animal Protection and Welfare
Anschutz Family Foundation,2009,Northwest,Grand,ADVOCATES: Victim Assistance Team of Grand County,5000,Hot Sulphur Springs,General Operating,"Domestic Violence Shelters, Services"
Anschutz Family Foundation,2009,Northwest,Grand,Grand Foundation,7500,Winter Park,General Operating,"Community, Public Affairs"
Anschutz Family Foundation,2010,Northwest,Grand,Grand Beginnings,5000,Hot Sulphur Springs,Program,Children and Youth Services
Anschutz Family Foundation,2010,Northwest,Grand,"Grand County Rural Health Network, Inc.",7500,Hot Sulphur Springs,General Operating,Health                                                                     
Anschutz Family Foundation,2010,Northwest,Grand,Shining Stars Foundation,5000,Tabernash,General Operating,Health                                                                     
Anschutz Family Foundation,2010,Northwest,Grand,The Mountain Family Center,5000,Hot Sulphur Springs,General Operating,
Anschutz Family Foundation,2010,Northwest,Grand,Advocates for a Violence-Free Community,5000,Hot Sulphur Springs,Program,"Domestic Violence Shelters, Services"
Anschutz Family Foundation,2011,Northwest,Grand,Grand Foundation,5000,Winter Park,Program,
Anschutz Family Foundation,2011,Northwest,Grand,Fraser Creative Learning Center,5000,Fraser,Program,Children and Youth Services
Anschutz Family Foundation,2011,Northwest,Grand,Grand Beginnings,5000,Hot Sulphur Springs,Program,Children and Youth Services
Anschutz Family Foundation,2011,Northwest,Grand,Grand Kids,5000,Fraser,General Operating,Children and Youth Services
Anschutz Family Foundation,2011,Northwest,Grand,"Grand County Rural Health Network, Inc.",7500,Hot Sulphur Springs,General Operating,Health                                                                     
Anschutz Family Foundation,2011,Northwest,Grand,Shining Stars Foundation,5000,Tabernash,General Operating,Health                                                                     
Anschutz Family Foundation,2011,Northwest,Grand,"Grand County Council on Aging, Inc.",4800,Granby,Capital,Disabled Persons
Anschutz Family Foundation,2012,Northwest,Grand,Advocates for a Violence-Free Community,5000,Hot Sulphur Springs,General Operating,"Domestic Violence Shelters, Services"
Anschutz Family Foundation,2012,Northwest,Grand,Fraser Creative Learning Center,4500,Fraser,Program,Children and Youth Services
Anschutz Family Foundation,2012,Northwest,Grand,Grand Kids,5000,Fraser,Program,Youth Development
Anschutz Family Foundation,2012,Northwest,Grand,Mountain Family Center,7500,Hot Sulphur Springs,General Operating,"Community, Public Affairs"
Anschutz Family Foundation,2012,Northwest,Grand,Project Sanctuary,10000,Granby,General Operating,"Community, Public Affairs"
Anschutz Family Foundation,2010,Northwest,Jackson,North Park School District R-1,7500.00,Walden,Program,Education
Anschutz Family Foundation,2009,Northwest,Moffat,Boys and Girls Club of Craig & Steamboat Springs,7500.00,Craig,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,Northwest,Moffat,Yampa Valley Partners,2325.00,Craig,General Operating,"Community, Public Affairs"
Anschutz Family Foundation,2010,Northwest,Moffat,"Independent Life Center, Inc.",5000.00,Craig,Program,Disabled Persons
Anschutz Family Foundation,2010,Northwest,Moffat,Northwest Colorado Dental Coalition,5000.00,Craig,General Operating,Health                                                                     
Anschutz Family Foundation,2011,Northwest,Moffat,Boys and Girls Club of Craig & Steamboat Springs,5000.00,Craig,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,Northwest,Rio Blanco,Giant Step Preschool & Child Care Center,5000.00,Rangely,General Operating,Children and Youth Services
Anschutz Family Foundation,2009,Northwest,Routt,Advocates Against Battering and Abuse,1300.00,Steamboat Springs,General Operating,"Domestic Violence Shelters, Services"
Anschutz Family Foundation,2009,Northwest,Routt,Humble Ranch Education and Therapy Center,5000.00,Steamboat Springs,General Operating,Disabled Persons
Anschutz Family Foundation,2009,Northwest,Routt,Integrated Community/Comunidad Integrada,5000.00,Steamboat Springs,General Operating,
Anschutz Family Foundation,2009,Northwest,Routt,Partners in Routt County,5000.00,Steamboat Springs,General Operating,Children and Youth Services
Anschutz Family Foundation,2009,Northwest,Routt,Yampa Valley Autism Program,5000.00,Steamboat Springs,Program,Health                                                                     
Anschutz Family Foundation,2010,Northwest,Routt,Grand Futures Prevention Coalition,5000.00,Steamboat Springs,General Operating,
Anschutz Family Foundation,2010,Northwest,Routt,Grand Futures Prevention Coalition,2500.00,Steamboat Springs,General Operating,
Anschutz Family Foundation,2010,Northwest,Routt,Family Development Center of Steamboat Springs,5000.00,Steamboat Springs,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,Northwest,Routt,North Routt Preschool,5000.00,Clark,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,Northwest,Routt,"Northwest Colorado Visiting Nurse Assn., Inc.",5000.00,Steamboat Springs,General Operating,Hospice
Anschutz Family Foundation,2010,Northwest,Routt,Integrated Community,5000.00,Steamboat Springs,Program,
Anschutz Family Foundation,2010,Northwest,Routt,Partners in Routt Coutny,5000.00,Steamboat Springs,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,Northwest,Routt,Rocky Mountain Youth Corps,5000.00,Steamboat Springs,General Operating,Children and Youth Services
Anschutz Family Foundation,2010,Northwest,Routt,Yampatika,5000.00,Steamboat Springs,Program,Children and Youth Services
