funder,year,region,county,nonprofit,amount,city,type ,category,
Anschutz Family Foundation,2012,San Luis Valley,Costilla,"Costilla County Economic Development Council, Inc.",7500.00,San Luis,Program,"Civic, Community and Capacity Building",
Anschutz Family Foundation,2012,San Luis Valley,Saguache,ScSEED,5000.00,Villa Grove,Program,"Civic, Community and Capacity Building",
Anschutz Family Foundation,2012,San Luis Valley,Alamosa,"La Puente Home, Inc. ",10000.00,Alamosa,General Operating,Food/Shelter/Homeless,
Anschutz Family Foundation,2012,San Luis Valley,Rio Grande,High Valley Community center,5000.00,Del Norte,General Operating,Self Sufficiency,
Anschutz Family Foundation,2012,San Luis Valley,Saguache,Northern Saguache County Library District,5000.00,Saguache,General Operating,Self Sufficiency,
Anschutz Family Foundation,2012,San Luis Valley,Alamosa,San Luis Valley Immigrant Resource Center,7500.00,Alamosa,General Operating,Self Sufficiency,
Anschutz Family Foundation,2012,San Luis Valley,Alamosa,San Luis Valley Area Health Education Center,2900.00,Alamosa,Program ,Senior Programs,
Anschutz Family Foundation,2012,San Luis Valley,Alamosa,Boys and Girls Club of the San Luis Valley Inc. ,7500.00,Alamosa,General Operating,Youth Development,
Anschutz Family Foundation,2012,San Luis Valley,Alamosa,Center for Restorative Programs,7500.00,Alamosa,General Operating,Youth Development,
Anschutz Family Foundation,2012,San Luis Valley,Mineral,Creede Early Learning Center ,5000.00,Creede,General Operating,Youth Development,
Anschutz Family Foundation,2012,San Luis Valley,Mineral,Creede Repertory Theatre,5000.00,Creede,General Operating,Youth Development,
Anschutz Family Foundation,2013,San Luis Valley,Mineral,Creede Arts Council,3500.00,Creede,General Operating,"Civic, Community, and Capacity Building",4/30/13
Anschutz Family Foundation,2013,San Luis Valley,Saguache,Crestone Musical Festival,3500.00,Crestone,General Operating,"Civic, Community, and Capacity Building",4/30/13
Anschutz Family Foundation,2013,San Luis Valley,Alamosa,"La Llave Family Resource Center, Inc.",7500.00,Alamosa,Program,Youth Development,11/30/13
Anschutz Family Foundation,2013,San Luis Valley,Conejos,Little Treasures Preschool,5000.00,La Jara,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,San Luis Valley,Costilla,Revitalizing Sustainable Agriculture,8750.00,San Luis,General Operating,Self Sufficiency,11/30/13
Anschutz Family Foundation,2013,San Luis Valley,Alamosa,San Luis Valley Local Foods Coalition,10000.00,Alamosa,General Operating,"Civic, Community, and Capacity Building",11/30/13
Anschutz Family Foundation,2013,San Luis Valley,Costilla,"Tiny Hands Daycare Center, Inc.",10000.00,Blanca,General Operating,Youth Development,11/30/13
Anschutz Family Foundation,2013,San Luis Valley,Alamosa,"Tu Casa, Inc.",10000.00,Alamosa,General Operating,Crisis Intervention,4/30/13
Boettcher Foundation,2012,San Luis Valley,Alamosa,Adams State College,18622.00,Alamosa,Scholarship Support,,
Boettcher Foundation,2012,San Luis Valley,Mineral,Creede Repertory Theatre,25000.00,Creede,Capital,,
Boettcher Foundation,2012,San Luis Valley,Mineral,Creede School District,5000.00,Creede,Program,,
Boettcher Foundation,2012,San Luis Valley,Conejos,Cumbres and Toltec Scenic Railroad Commission,15000.00,Antonito,Capital,,
