funder,year,region,county,nonprofit,amount,city,type ,category,
Adolph Coors Foundation,2010,Southeast,Bent,Bent County/Las Animas Community Center,5000.00,Las Animas,General Operating,,
Adolph Coors Foundation,2010,Southeast,Prowers,Southeastern CO Homeless Center,3500.00,Lamar,General Operating,,
Adolph Coors Foundation,2010,Southeast,Otero,Tri-County Family Care Center,5000.00,Rocky Ford,General Operating,,
Adolph Coors Foundation,2011,Southeast,Kiowa,Crow Luther Cultural Events Center,50000.00,Eads,General Operating,,
Adolph Coors Foundation,2011,Southeast,Otero,Friends of the Rocky Ford Library,10000.00,Rocky Ford,Capital,,
Adolph Coors Foundation,2011,Southeast,Huerfano,Huerfano County Youth Services,10000.00,Walsenburg,General Operating,,
Adolph Coors Foundation,2011,Southeast,Las Animas,Kim Equestrian Pavillion & Event Center,30000.00,Kim,Capital,,
Adolph Coors Foundation,2012,Southeast,Kiowa,Crow Luther Cultural Event Center,50000.00,Eads,Capital,"Community, Public Affairs",
Anschutz Family Foundation,2009,Southeast,Otero,Arkansas Valley Resource Center,5000.00,La Junta,General Operating,"Domestic Violence Shelters, Services",
Anschutz Family Foundation,2009,Southeast,Bent,Bent County HealthCare Center,7500.00,Las Animas,General Operating,Health                                                                     ,
Anschutz Family Foundation,2009,Southeast,Bent,"Bent County Las Animas Community Activity Center, Inc.",5000.00,Las Animas,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Southeast,Huerfano,Huerfano County Youth Services,7500.00,Walsenburg,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Southeast,Las Animas,"Kim Equine Pavillion and Education Center, Inc.",7500.00,Kim,Capital,Economic Development      ,
Anschutz Family Foundation,2009,Southeast,Otero,Santo Nino Learning Center,5000.00,Rocky Ford,General Operating,Children and Youth Services,
Anschutz Family Foundation,2009,Southeast,Prowers,"Southeast Business Retention, Expansion and Attraction",5000.00,Lamar,Program,Economic Development      ,
Anschutz Family Foundation,2009,Southeast,Baca,"Springfield Child Care Center, Inc.",5000.00,Springfield,Capital,Children and Youth Services,
Anschutz Family Foundation,2009,Southeast,Otero,Tri-County Family Care Center,5000.00,Rocky Ford,General Operating,,
Anschutz Family Foundation,2010,Southeast,Huerfano,Friends of La Veta Public Library INC,5000.00,La Veta,Capital,"Community, Public Affairs",
Anschutz Family Foundation,2010,Southeast,Kiowa,Kiowa County RE-2 Plainview Preschool,5000.00,Sheridan Lake,General Operating,Children and Youth Services,
Anschutz Family Foundation,2010,Southeast,Otero,Tri-County Family Care Center,5000.00,Rocky Ford,General Operating,,
Anschutz Family Foundation,2010,Southeast,Las Animas,Noah's Ark Animal Welfare Association,5000.00,Trinidad,Program,Animal Protection and Welfare,
Anschutz Family Foundation,2010,Southeast,Bent,Bent County/Las Animas Community Center,5000.00,Las Animas,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Southeast,Otero,"Koshare Indian Museum, Inc.",7500.00,La Junta,General Operating,"Arts, Culture & Humanities ",
Anschutz Family Foundation,2011,Southeast,Las Animas,Trinidad State Junior College,5000.00,Trinidad,Program,,
Anschutz Family Foundation,2011,Southeast,Otero,Inspiration Field,7500.00,La Junta,Capital,Disabled Persons,
Anschutz Family Foundation,2011,Southeast,Kiowa,Kiowa County RE-2 Plainview Preschool,5000.00,Sheridan Lake,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Southeast,Baca,"Springfield Child Care Center, Inc.",7500.00,Springfield,General Operating,Children and Youth Services,
Anschutz Family Foundation,2011,Southeast,Baca,Walsh Child Care Center,5000.00,Walsh,General Operating,Children and Youth Services,
