funder,year,region,county,nonprofit,amount,city,type ,category,,,,,
Caring for Colorado Foundation,2012,Heart of Colorado,Park,Rocky Mountain Rural Health,65568.00,Fairplay,Program,Health,997 dated Oct 2011 through Sept 2012 ,,,,
El Pomar Foundation,2012,Heart of Colorado,Chaffee,Boys and Girls Clubs of Chaffee County,20000.00,Salida,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of Colorado,Fremont,Boys and Girls Clubs of Fremont County,15000.00,Ca–on City,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of Colorado,Teller,"Old Homestead House Museum, Inc. ",10000.00,Cripple Creek,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of Colorado,Fremont,Penrose Senior Center Club,2500.00,Penrose,General Operating,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of Colorado,Chaffee,"Salida Area Parks, Open-space and Trails",10000.00,Salida,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of Colorado,Fremont,Town of Rockvale,10000.00,Rockvale,Program,Civic and Community,,,,,
El Pomar Foundation,2012,Heart of Colorado,Teller,Teller County School District RE-1,10000.00,Cripple Creek,Program,Education ,,,,,
El Pomar Foundation,2012,Heart of Colorado,Chaffee,Chaffee County Habitat for Humanity,10000.00,Buena Vista,Program ,Human Services ,,,,,
El Pomar Foundation,2012,Heart of Colorado,Custer,Custer County Transitions,5000.00,Westcliffe,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of Colorado,Fremont,Kinder Haus Childcare Center,5000.00,Florence,General Operating,Education ,,,,,
El Pomar Foundation,2012,Heart of Colorado,Fremont,Ramrod,9000.00,Cotopaxi,General Operating,Health,,,,,
El Pomar Foundation,2012,Heart of Colorado,Teller,Teller County School District RE-1,15000.00,Cripple Creek,Program ,Education ,,,,,
El Pomar Foundation,2012,Heart of Colorado,Teller,Colorado Wolf and Wildlife Center,4525.00,Divide,Program ,Animal Protection and Welfare,,,,,
El Pomar Foundation,2012,Heart of Colorado,Park,Fair View Horse Rescue,2000.00,Fairplay,Program,Animal Protection and Welfare,,,,,
El Pomar Foundation,2012,Heart of Colorado,Park,South Park Good Samaritan Fund for Animals,2000.00,Fairplay,Program,Animal Protection and Welfare,,,,,
El Pomar Foundation,2012,Heart of Colorado,Park,"A Hand Up, Not a Handout",2000.00,Hartsel,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of Colorado,Chaffee,Chaffee County Department of Human Services,5000.00,Salida,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of Colorado,Teller,City of Woodland Park,2500.00,Woodland Park,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of Colorado,Teller,"Community Cupboard of Woodland Park, Inc.",2500.00,Woodland Park,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of Colorado,Park,Harris Park Bible Church,1500.00,Bailey,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of Colorado,Teller,Help the Needy,2500.00,Woodland Park,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of Colorado,Custer,Hope Evangelical Lutheran Church,5000.00,Westcliffe,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of Colorado,Teller,Little Chapel of the Hills,2000.00,Divide,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of Colorado,Fremont,Loaves and Fishes Ministries of Fremont County,7500.00,Ca–on City,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of Colorado,Fremont,Manna House,3000.00,Florence,Program,Human Services ,,,,,
El Pomar Foundation,2012,Heart of Colorado,Chaffee,New Caring and Sharing,2000.00,Salida,Program,Human Services ,,,,,
