funder,year,region,county,nonprofit,amount,city,type ,category,,,,
The Colorado Trust,2009,WesternSlope,Delta,Delta Barracuda Swim Team,1000.00,Paonia,General Operating,Children and Youth Services,,,,
The Colorado Trust,2009,WesternSlope,Delta,"VOANS Senior CommUnity Meals, Inc.",122149.00,Eckert,Program,Health                                                                     ,,,,
The Colorado Trust,2009,WesternSlope,Gunnison,Gunnison County,7376.00,Gunnison,Program,Health                                                                     ,,,,
The Colorado Trust,2009,WesternSlope,Gunnison,Gunnison County Public Health,187500.00,Gunnison,Program,Health                                                                     ,,,,
The Colorado Trust,2009,WesternSlope,Mesa,"Hilltop Community Resource, Inc.",231000.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Trust,2009,WesternSlope,Mesa,"Hilltop Community Resource, Inc.",7500.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Trust,2009,WesternSlope,Mesa,Mesa County Health Department,187500.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Trust,2009,WesternSlope,Mesa,Mesa County Partnership for Children and Families,184500.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Trust,2009,WesternSlope,Mesa,Western Colorado Suicide Prevention Foundation,20000.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Trust,2009,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,324500.00,Montrose,Program,Health                                                                     ,,,,
The Colorado Trust,2009,WesternSlope,Montrose,Midwestern Colorado Mental Health Center,20000.00,Montrose,Program,Health                                                                     ,,,,
The Colorado Trust,2009,WesternSlope,San Miguel,Bright Futures for Early Childhood and Families,7500.00,Telluride,Program,Health                                                                     ,,,,
The Colorado Trust,2009,WesternSlope,San Miguel,Bright Futures for Early Childhood and Families,165000.00,Telluride,Program,Health                                                                     ,,,,
The Colorado Trust,2010,WesternSlope,Gunnison,Gunnison County Health and Human Services,60878.00,Gunnison,Program,Health                                                                     ,,,,
The Colorado Trust,2010,WesternSlope,Gunnison,Gunnisun Legacy Fund,3000.00,Gunnison,General Operating,,,,,
The Colorado Trust,2010,WesternSlope,Mesa,CLUB 20 Education & Research Foundation,390703.00,Grand Junction,Program,Health                                                                     ,,,,
The Colorado Trust,2010,WesternSlope,San Miguel,Bright Futures for Early Childhood and Families,25000.00,Telluride,Program,Health                                                                     ,,,,
The Colorado Trust,2011,WesternSlope,Mesa,Grand Valley Public Radio Company,2000.00,Grand Junction,General Operating,"Arts, Culture & Humanities ",,,,
The Colorado Trust,2011,WesternSlope,Mesa,"Western Colorado Center for the Arts, Inc.",2000.00,Grand Junction,General Operating,"Arts, Culture & Humanities ",,,,
The Colorado Trust,2011,WesternSlope,Mesa,Grand Valley Recreation Resources,10000.00,Grand Junction,General Operating,"Community, Public Affairs",,,,
The Colorado Trust,2011,WesternSlope,Mesa,"Mesa County Land Conservancy, Inc.",5000.00,Grand Junction,General Operating,"Environment, Conservation",,,,
The Colorado Trust,2011,WesternSlope,Mesa,Riverside Educational Center,5000.00,Grand Junction,General Operating,Education,,,,
The Colorado Trust,2011,WesternSlope,Mesa,"Western Colorado Center for the Arts, Inc.",10000.00,Grand Junction,General Operating,"Arts, Culture & Humanities ",,,,
